,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01000462,506,29,56,43,44,105,67,35,56,71
S01000463,352,27,22,51,29,56,33,32,56,46
S01000464,448,46,55,43,33,143,22,24,40,42
S01000465,405,48,72,41,46,104,28,12,36,18
S01000466,526,48,70,58,45,126,42,16,52,69
S01000467,323,19,28,38,41,56,37,21,32,51
S01000468,313,17,33,55,32,85,25,11,20,35
S01000469,381,47,30,44,52,78,23,33,34,40
S01000470,500,44,47,76,53,88,43,40,53,56
S01000471,464,37,82,55,56,93,34,25,51,31
S01000472,414,18,27,41,47,57,44,44,61,75
S01000473,362,12,36,29,31,73,47,35,33,66
S01000474,355,41,35,32,35,93,28,17,40,34
S01000475,377,15,24,27,40,67,31,43,45,85
S01000476,379,41,60,44,37,84,30,15,34,34
S01000477,357,16,37,32,45,56,35,30,49,57
S01000478,349,23,20,38,38,60,39,31,47,53
S01000479,394,31,32,35,36,56,43,34,54,73
S01000480,349,19,50,34,33,75,38,19,43,38
S01000481,"1,144",105,133,143,127,226,112,89,115,94
S01000482,447,15,32,26,18,74,44,39,98,101
S01000483,449,30,53,34,33,86,54,22,63,74
S01000484,444,31,45,53,30,74,42,26,57,86
S01000485,537,29,74,65,82,93,43,33,54,64
S01000486,570,21,26,50,25,97,50,50,96,155
S01000487,290,22,29,33,38,64,23,17,25,39
S01000488,289,13,21,28,25,54,35,29,35,49
S01000489,393,13,12,30,28,87,28,40,67,88
S01000490,332,25,26,41,50,65,37,23,31,34
S01000491,228,8,15,10,15,55,27,16,38,44
S01000492,464,28,26,31,29,125,31,50,62,82
S01000493,318,30,32,37,25,78,24,15,37,40
S01000494,275,11,20,28,13,51,27,18,41,66
S01000495,484,35,38,72,53,94,46,35,59,52
S01000496,274,31,34,36,32,49,22,24,24,22
S01000497,422,26,49,46,41,106,46,32,28,48
S01000498,237,18,30,34,33,49,20,12,18,23
S01000499,485,36,59,79,48,93,52,29,37,52
S01000500,280,19,13,19,21,53,36,39,34,46
S01000501,257,12,22,30,31,57,19,23,33,30
S01000502,352,35,57,43,32,85,31,21,16,32
S01000503,263,25,38,27,23,73,19,16,26,16
S01000504,385,36,50,25,33,77,27,32,56,49
S01000505,389,30,56,44,34,70,36,23,46,50
S01000506,578,63,83,62,61,128,47,38,47,49
