,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01005014,835,825,9,1,9,288,781,1,8,-,20,25
S01005015,602,598,4,-,3,160,573,-,-,7,5,17
S01005016,856,839,15,2,4,223,816,1,2,-,23,14
S01005017,707,705,2,-,11,179,681,3,9,-,2,12
S01005018,571,570,-,1,5,204,561,1,1,1,-,7
S01005019,"1,234","1,201",26,7,13,538,"1,158",1,31,2,14,28
S01005020,815,806,9,-,18,176,791,4,3,-,4,13
S01005021,"1,045","1,043",2,-,19,187,998,3,5,1,6,32
S01005022,680,676,4,-,3,217,646,-,6,3,2,23
S01005023,880,812,40,28,7,199,718,-,4,-,43,115
S01005024,912,901,9,2,7,262,873,3,11,5,8,12
S01005025,674,667,6,1,6,230,658,-,8,1,3,4
S01005026,660,654,4,2,1,149,637,-,2,4,8,9
S01005027,784,778,5,1,5,220,749,-,-,4,6,25
S01005028,870,864,6,-,4,190,831,1,5,-,3,30
S01005029,941,926,12,3,5,286,867,1,13,1,16,43
S01005030,993,990,3,-,4,273,973,-,6,2,-,12
S01005031,658,637,19,2,3,178,575,-,4,2,33,44
S01005032,840,834,5,1,6,245,812,1,3,2,6,16
S01005033,722,720,1,1,2,139,701,-,1,-,1,19
S01005034,759,756,3,-,2,217,736,1,-,1,3,18
S01005035,944,935,8,1,6,332,891,2,14,3,8,26
S01005036,647,644,3,-,3,142,638,1,3,-,-,5
S01005037,"1,129","1,087",35,7,14,363,934,2,8,2,91,92
S01005038,804,786,16,2,5,227,769,3,7,-,5,20
S01005039,"1,047","1,039",8,-,9,234,"1,005",1,4,1,1,35
S01005040,"1,120","1,078",33,9,13,353,929,1,15,5,45,125
S01005041,685,646,36,3,9,184,522,2,3,-,67,91
S01005042,786,781,5,-,4,180,761,1,8,-,-,16
S01005043,783,777,6,-,7,218,744,1,4,2,21,11
S01005044,899,894,4,1,4,325,855,1,11,2,7,23
S01005045,"1,007",993,14,-,4,261,958,1,7,-,5,36
S01005046,"1,286","1,269",10,7,5,365,"1,232",1,12,4,18,19
S01005047,"1,471","1,414",45,12,8,398,"1,227",-,2,3,89,150
S01005048,585,577,8,-,4,153,560,1,5,-,2,17
S01005049,799,735,52,12,7,214,576,1,6,-,112,104
S01005050,864,850,14,-,10,332,809,1,13,-,17,24
S01005051,807,796,10,1,10,236,773,-,10,-,-,24
S01005052,891,890,1,-,3,256,855,-,8,1,2,25
S01005053,822,798,22,2,4,302,752,1,10,4,24,31
S01005054,578,565,12,1,10,189,543,-,3,1,19,12
S01005055,784,775,8,1,21,270,744,-,2,-,13,25
S01005056,749,723,21,5,5,163,666,-,2,1,39,41
S01005057,694,684,7,3,9,235,670,1,3,1,8,11
S01005058,860,845,14,1,10,251,771,1,6,2,24,56
S01005059,493,478,15,-,3,150,461,-,8,2,17,5
S01005060,693,682,10,1,6,247,643,-,2,5,13,30
S01005061,"1,134","1,122",7,5,4,251,"1,073",2,9,1,5,44
S01005062,486,484,2,-,2,152,471,-,7,-,-,8
S01005063,471,468,3,-,4,152,448,-,4,-,-,19
S01005064,733,730,3,-,4,209,718,-,11,-,-,4
S01005065,"1,189","1,141",34,14,18,307,981,4,6,2,95,101
S01005066,743,725,13,5,12,259,640,5,3,1,53,41
S01005067,622,609,10,3,3,134,545,-,1,1,12,63
S01005068,624,613,9,2,1,221,593,-,9,2,16,4
S01005069,563,546,16,1,4,192,521,-,7,-,24,11
S01005070,"1,087","1,038",45,4,3,295,864,-,5,1,107,110
S01005071,185,179,6,-,-,59,174,-,-,1,5,5
S01005072,600,587,10,3,2,202,551,-,9,-,24,16
S01005073,607,602,2,3,2,149,577,-,10,1,3,16
S01005074,"1,151","1,144",6,1,3,359,"1,104",1,6,1,7,32
S01005075,419,414,5,-,1,146,397,-,1,-,3,18
S01005076,729,714,14,1,6,272,681,-,9,1,10,28
S01005077,972,954,15,3,4,284,918,-,8,3,21,22
S01005078,669,652,12,5,1,235,637,-,-,-,23,9
S01005079,616,603,10,3,2,231,564,-,7,1,31,13
S01005080,432,426,5,1,4,145,391,-,3,-,20,18
S01005081,632,607,21,4,1,212,589,-,7,2,22,12
S01005082,641,640,1,-,6,198,633,1,2,-,-,5
S01005083,957,951,6,-,5,335,930,-,10,2,3,12
S01005084,593,586,7,-,3,205,571,-,-,7,11,4
S01005085,521,520,1,-,2,215,509,-,7,-,-,5
S01005086,"1,609","1,570",34,5,12,450,"1,460",5,10,4,56,74
S01005087,477,476,1,-,4,169,464,-,4,-,3,6
S01005088,548,542,6,-,5,194,539,-,5,-,-,4
S01005089,757,756,1,-,7,228,738,-,7,-,6,6
S01005090,846,841,4,1,3,255,805,2,14,4,-,21
S01005091,625,624,1,-,4,171,605,1,8,5,-,6
S01005092,656,651,4,1,11,230,623,2,10,4,4,13
S01005093,678,667,8,3,4,227,658,-,3,1,13,3
S01005094,757,743,12,2,5,199,718,1,6,2,6,24
S01005095,"1,522","1,514",6,2,12,496,"1,482",2,14,2,4,18
S01005096,701,693,7,1,5,210,673,-,6,-,-,22
S01005097,819,809,9,1,5,236,774,1,1,-,3,40
S01005098,709,702,7,-,8,262,682,1,9,2,3,12
S01005099,787,779,8,-,5,260,774,1,7,-,-,5
S01005100,910,900,8,2,7,227,883,2,3,-,14,8
S01005101,950,941,8,1,3,309,895,1,7,1,5,41
S01005102,878,860,16,2,2,274,844,-,16,-,4,14
S01005103,"1,118","1,112",6,-,6,333,"1,057",2,21,-,5,33
S01005104,987,974,13,-,9,206,862,-,11,2,5,107
S01005105,867,860,7,-,3,282,840,-,9,4,3,11
S01005106,540,533,6,1,2,175,517,2,4,-,6,11
S01005107,434,431,3,-,2,144,427,-,3,-,-,4
S01005108,609,606,3,-,8,226,571,3,15,1,3,16
S01005109,"1,421","1,415",6,-,21,408,"1,369",7,12,4,6,23
S01005110,"1,096","1,085",7,4,6,371,"1,060",-,12,-,6,18
S01005111,550,548,2,-,6,189,514,-,20,-,7,9
S01005112,856,842,14,-,44,235,806,3,10,-,17,20
S01005113,"1,017","1,007",8,2,4,390,983,2,10,1,10,11
S01005114,946,894,48,4,8,337,855,-,9,2,65,15
S01005115,952,935,16,1,43,245,893,-,1,-,4,54
S01005116,610,606,3,1,2,222,585,-,12,-,-,13
S01005117,982,962,18,2,3,316,938,2,6,1,10,25
S01005118,795,783,12,-,29,216,729,4,14,-,8,40
S01005119,701,697,3,1,3,167,682,1,7,-,1,10
S01005120,654,638,13,3,6,252,625,4,9,5,-,11
S01005121,888,877,5,6,10,298,843,1,1,1,8,34
S01005122,844,842,2,-,2,363,824,-,7,-,7,6
S01005123,732,724,5,3,3,293,686,1,17,-,9,19
S01005124,692,688,4,-,2,278,651,-,20,3,8,10
S01005125,808,777,27,4,9,302,699,-,5,4,52,48
S01005126,635,630,5,-,4,213,594,1,20,3,1,16
S01005127,645,624,15,6,2,245,572,-,8,2,29,34
S01005128,959,949,6,4,3,323,911,-,4,1,4,39
S01005129,912,902,7,3,5,393,867,-,14,1,11,19
S01005130,632,602,21,9,3,273,573,-,10,1,36,12
S01005131,961,945,16,-,57,212,912,4,11,-,13,21
S01005132,701,690,9,2,3,251,655,-,7,5,13,21
S01005133,389,386,3,-,2,113,379,-,2,1,-,7
S01005134,954,949,5,-,8,363,911,1,21,1,8,12
S01005135,755,747,8,-,2,272,721,-,14,2,5,13
S01005136,833,800,30,3,37,216,754,6,2,6,17,48
S01005137,909,905,4,-,7,292,871,1,13,2,5,17
S01005138,"1,095","1,076",15,4,4,418,"1,030",-,20,1,15,29
S01005139,706,698,6,2,11,201,655,2,12,-,11,26
S01005140,598,594,4,-,21,151,563,1,10,-,2,22
S01005141,818,810,8,-,24,213,784,-,-,2,4,28
S01005142,553,551,2,-,5,135,538,2,6,-,-,7
S01005143,"1,107","1,093",12,2,22,327,"1,001",7,10,2,32,55
S01005144,"1,188","1,167",17,4,24,269,"1,060",7,8,-,26,87
S01005145,719,712,6,1,18,212,674,7,7,-,11,20
S01005146,730,717,13,-,22,211,672,-,7,2,11,38
S01005147,915,906,9,-,14,268,882,-,7,-,4,22
S01005148,806,797,5,4,4,155,778,-,7,7,-,14
S01005149,578,576,2,-,3,143,550,-,5,5,2,16
S01005150,638,634,3,1,5,190,624,1,2,1,4,6
S01005151,655,653,1,1,3,163,646,-,4,-,-,5
S01005152,"1,629","1,599",28,2,2,335,"1,548",-,4,5,4,68
S01005153,838,834,4,-,4,178,822,1,4,3,-,8
S01005154,632,626,5,1,5,131,609,1,4,-,-,18
S01005155,678,676,1,1,3,140,675,-,2,-,-,1
S01005156,668,664,4,-,1,254,664,-,1,-,1,2
S01005157,854,850,4,-,1,306,841,-,2,1,-,10
S01005158,665,665,-,-,2,210,661,-,1,-,-,3
S01005159,886,883,3,-,3,269,876,-,4,-,-,6
S01005160,"1,069","1,063",6,-,6,302,"1,048",3,1,2,-,15
S01005161,919,911,8,-,5,242,903,1,1,1,-,13
S01005162,878,872,6,-,3,312,858,-,3,5,1,11
S01005163,608,605,3,-,1,238,590,-,7,-,7,4
S01005164,885,881,4,-,7,282,863,3,4,2,4,9
S01005165,699,697,1,1,1,228,692,-,4,3,-,-
S01005166,950,939,8,3,4,277,915,2,5,8,3,17
S01005167,629,625,4,-,1,203,599,-,9,-,2,19
S01005168,713,704,8,1,2,190,684,-,-,-,1,28
S01005169,562,556,4,2,2,154,545,-,3,-,7,7
S01005170,772,767,5,-,1,153,753,-,-,2,-,17
S01005171,864,854,8,2,6,266,829,3,4,-,1,27
S01005172,"1,393","1,388",4,1,8,307,"1,342",2,4,3,6,36
S01005173,675,667,5,3,-,164,660,-,3,-,-,12
S01005174,673,669,3,1,3,219,657,-,10,3,-,3
S01005175,950,934,15,1,11,133,819,10,5,-,2,114
S01005176,664,662,1,1,4,220,651,-,1,5,1,6
S01005177,776,752,23,1,6,292,713,-,9,-,41,13
S01005178,931,916,11,4,4,295,903,-,16,4,7,1
S01005179,892,885,5,2,3,260,849,1,9,1,10,22
S01005180,814,811,2,1,1,188,792,-,4,-,-,18
S01005181,888,883,3,2,6,204,864,3,-,1,4,16
S01005182,711,700,9,2,4,249,697,-,1,3,5,5
S01005183,875,871,3,1,3,261,857,1,10,3,-,4
S01005184,854,844,8,2,4,302,830,-,3,3,1,17
S01005185,504,503,-,1,1,140,494,-,1,2,1,6
S01005186,714,709,4,1,-,164,703,-,-,1,1,9
S01005187,969,960,7,2,5,248,948,1,3,1,1,15
S01005188,889,886,3,-,3,157,867,6,2,-,-,14
S01005189,851,848,2,1,3,267,837,-,4,2,1,7
S01005190,860,855,5,-,8,194,816,1,3,-,-,40
S01005191,878,864,10,4,1,278,849,-,-,3,7,19
S01005192,"1,098","1,084",11,3,3,221,"1,054",-,3,1,6,34
S01005193,780,774,6,-,2,183,742,-,1,-,-,37
S01005194,574,571,3,-,2,196,560,-,-,-,3,11
S01005195,877,870,7,-,7,188,852,4,-,-,-,21
S01005196,759,748,10,1,1,256,700,-,7,2,14,36
S01005197,680,674,6,-,1,201,663,-,-,1,12,4
S01005198,830,827,2,1,5,152,818,4,-,1,3,4
S01005199,760,755,5,-,2,248,747,-,1,3,-,9
S01005200,523,521,2,-,-,127,512,-,2,-,-,9
S01005201,893,889,3,1,6,284,881,-,4,-,5,3
S01005202,839,833,5,1,1,285,822,-,2,3,7,5
S01005203,768,768,-,-,4,217,763,-,3,-,-,2
S01005204,493,486,7,-,-,106,472,-,-,-,7,14
S01005205,"1,045","1,036",8,1,7,195,986,3,3,1,3,49
S01005206,944,940,3,1,5,240,911,-,3,2,4,24
S01005207,873,865,8,-,4,253,861,-,3,4,2,3
S01005208,539,531,4,4,4,161,499,-,1,-,16,23
S01005209,838,836,2,-,6,250,819,3,4,-,5,7
S01005210,896,890,5,1,2,268,869,-,3,4,5,15
S01005211,658,655,3,-,2,229,651,-,2,-,-,5
S01005212,518,515,2,1,-,136,510,-,3,-,-,5
S01005213,894,890,4,-,11,190,863,8,7,-,2,14
S01005214,880,859,18,3,7,269,791,2,2,-,36,49
S01005215,946,938,8,-,2,310,923,-,12,3,2,6
S01005216,717,711,6,-,1,187,698,-,2,-,6,11
S01005217,938,897,39,2,4,239,909,-,-,1,14,14
S01005218,898,896,2,-,4,280,860,1,7,-,7,23
S01005219,920,909,11,-,3,263,879,-,6,2,8,25
S01005220,642,635,7,-,2,179,625,-,5,2,2,8
S01005221,676,664,12,-,1,126,647,1,-,-,-,28
S01005222,555,547,7,1,5,165,529,2,4,1,10,9
S01005223,692,691,-,1,4,201,682,-,3,4,-,3
S01005224,705,702,3,-,3,188,697,2,-,-,-,6
S01005225,950,940,8,2,3,216,914,1,1,5,3,26
S01005226,501,497,4,-,3,162,452,-,3,1,4,41
S01005227,"1,031","1,014",17,-,5,331,998,-,7,3,2,21
S01005228,867,862,3,2,5,171,834,1,9,-,7,16
S01005229,"1,071","1,058",10,3,4,302,"1,006",-,4,4,19,38
S01005230,787,783,3,1,7,206,764,4,1,-,-,18
S01005231,695,691,4,-,-,145,656,-,2,-,7,30
S01005232,"1,042","1,023",18,1,8,282,"1,004",2,3,3,4,26
S01005233,740,733,5,2,2,227,714,-,2,3,5,16
S01005234,"1,303","1,291",11,1,5,342,"1,209",4,3,1,9,77
S01005235,668,646,22,-,2,153,609,-,1,-,15,43
S01005236,"1,128","1,122",4,2,2,334,"1,104",-,5,3,-,16
S01005237,973,961,9,3,6,163,943,2,1,1,-,26
S01005238,787,785,2,-,6,225,775,5,1,4,-,2
S01005239,"1,080","1,048",31,1,10,278,905,-,4,5,25,141
S01005240,792,784,7,1,3,278,754,1,4,3,12,18
S01005241,928,923,5,-,18,142,884,12,8,-,4,20
S01005242,"1,079","1,056",16,7,14,317,997,-,6,4,35,37
S01005243,"1,008",972,32,4,6,290,896,2,5,4,50,51
S01005244,879,872,7,-,11,143,836,5,3,-,1,34
S01005245,667,641,23,3,6,165,551,3,3,-,43,67
S01005246,839,830,9,-,2,259,791,-,4,5,7,32
S01005247,586,573,13,-,3,244,553,-,4,2,19,8
S01005248,597,591,3,3,5,151,557,1,7,6,2,24
S01005249,819,790,22,7,9,230,696,1,2,1,31,88
S01005250,806,784,16,6,10,256,679,4,1,2,24,96
S01005251,808,791,17,-,2,256,729,-,6,2,32,39
S01005252,485,482,3,-,1,184,472,1,1,3,6,2
S01005253,518,513,5,-,-,141,502,-,3,-,4,9
S01005254,864,825,38,1,5,174,683,1,3,1,35,141
S01005255,682,658,21,3,7,225,613,-,-,2,44,23
S01005256,817,808,8,1,6,184,773,6,2,-,5,31
S01005257,888,873,14,1,8,204,829,2,4,2,2,49
S01005258,994,992,2,-,23,159,956,14,8,-,1,15
S01005259,518,509,8,1,3,183,494,2,2,-,13,7
S01005260,607,601,6,-,5,158,582,-,1,3,6,15
S01005261,614,607,5,2,3,260,564,-,7,2,13,28
S01005262,"1,148","1,132",16,-,12,275,"1,050",3,1,1,13,80
S01005263,519,518,1,-,4,204,508,-,-,1,6,4
S01005264,607,602,5,-,3,197,576,5,6,1,-,19
S01005265,453,446,7,-,3,170,437,-,3,2,7,4
S01005266,821,815,6,-,4,273,807,1,5,5,-,3
S01005267,"1,019","1,010",4,5,3,367,991,1,8,2,-,17
S01005268,"1,265","1,233",26,6,5,397,"1,126",-,12,3,49,75
S01005269,899,890,8,1,4,215,855,-,2,5,1,36
S01005270,"1,017","1,012",5,-,12,194,970,8,6,-,-,33
S01005271,501,499,1,1,2,106,486,2,3,-,-,10
S01005272,514,501,13,-,6,203,482,-,-,7,16,9
S01005273,716,706,3,7,1,205,707,-,6,1,-,2
S01005274,714,703,10,1,8,230,691,2,3,5,10,3
S01005275,532,519,8,5,4,178,483,1,9,3,6,30
S01005276,696,691,5,-,1,233,679,1,2,1,2,11
S01005277,652,649,2,1,1,207,648,-,1,2,-,1
S01005278,769,765,4,-,1,248,752,1,4,1,-,11
S01005279,534,530,3,1,4,87,525,-,4,1,-,4
S01005280,708,695,12,1,3,237,671,1,4,3,15,14
S01005281,739,729,9,1,2,250,717,-,5,-,4,13
S01005282,710,705,2,3,1,237,690,-,6,3,4,7
S01005283,781,778,3,-,5,108,758,1,1,-,5,16
S01005284,586,578,6,2,6,195,571,2,-,1,4,8
S01005285,671,666,4,1,2,174,661,-,-,-,1,9
S01005286,779,772,5,2,6,103,750,3,-,-,2,24
S01005287,"1,047","1,007",35,5,6,244,947,-,3,3,17,77
S01005288,750,739,8,3,4,229,721,-,4,6,-,19
S01005289,945,941,3,1,3,303,884,-,8,1,10,42
S01005290,579,573,4,2,3,173,550,-,9,2,3,15
S01005291,667,666,1,-,2,139,658,-,3,2,-,4
S01005292,713,701,12,-,4,269,676,-,2,4,13,18
S01005293,733,730,2,1,1,243,709,-,5,1,9,9
S01005294,550,543,6,1,6,84,530,1,-,1,2,16
S01005295,568,560,7,1,3,178,555,-,2,1,2,8
S01005296,812,805,7,-,7,179,765,4,1,2,-,40
S01005297,701,690,11,-,5,121,665,3,-,-,-,33
S01005298,"1,041","1,037",3,1,9,221,"1,026",6,-,-,-,9
S01005299,498,494,2,2,4,123,488,2,-,2,4,2
S01005300,884,879,4,1,3,193,859,1,4,4,-,16
S01005301,845,840,4,1,2,159,829,-,-,-,-,16
S01005302,967,960,6,1,-,315,946,-,4,5,-,12
S01005303,824,820,4,-,5,222,810,2,-,1,-,11
S01005304,650,649,1,-,5,128,626,4,1,4,-,15
S01005305,714,705,8,1,2,208,684,-,7,1,-,22
S01005306,934,925,7,2,4,161,875,-,2,-,-,57
S01005307,931,923,6,2,6,157,901,1,1,-,-,28
S01005308,500,489,8,3,3,143,451,2,1,2,17,27
S01005309,830,828,2,-,9,237,822,2,1,-,-,5
S01005310,951,945,6,-,3,274,932,-,8,3,-,8
S01005311,784,775,7,2,4,151,735,1,-,-,1,47
S01005312,"1,089","1,078",11,-,7,266,"1,031",4,2,1,9,42
S01005313,818,810,5,3,5,220,758,1,3,-,2,54
S01005314,455,455,-,-,3,61,451,1,-,-,-,3
S01005315,844,815,21,8,2,229,764,-,12,3,4,61
S01005316,825,818,5,2,4,191,803,1,1,3,-,17
S01005317,509,507,1,1,3,122,497,-,5,-,-,7
S01005318,551,547,4,-,4,156,541,1,1,1,-,7
S01005319,604,599,3,2,4,133,550,-,5,-,-,49
S01005320,593,587,6,-,6,164,570,1,-,1,-,21
S01005321,588,582,5,1,4,172,560,-,1,-,-,27
S01005322,"1,735","1,710",20,5,21,367,"1,591",3,2,2,14,123
S01005323,741,739,2,-,5,181,700,1,2,-,5,33
S01005324,772,766,5,1,5,209,752,-,-,1,4,15
S01005325,"2,110","2,067",33,10,19,440,"1,953",7,6,5,12,127
S01005326,874,857,12,5,-,279,838,-,3,2,15,16
S01005327,581,573,8,-,3,178,556,1,6,2,8,8
S01005328,684,657,13,14,7,212,623,3,4,3,10,41
S01005329,633,628,5,-,4,158,608,2,2,1,3,17
S01005330,688,680,7,1,5,196,676,2,3,1,-,6
S01005331,653,647,3,3,1,184,630,-,6,-,6,11
S01005332,558,555,3,-,4,124,554,-,-,2,-,2
S01005333,759,750,7,2,4,180,728,2,8,1,-,20
S01005334,"1,076","1,073",3,-,4,252,"1,064",-,5,3,-,4
S01005335,496,492,2,2,7,102,466,-,1,1,-,28
S01005336,571,568,3,-,4,145,546,1,4,-,4,16
S01005337,851,836,14,1,-,159,826,-,6,-,-,19
S01005338,548,547,1,-,4,90,535,-,-,1,-,12
S01005339,748,745,3,-,4,242,729,2,3,-,4,10
S01005340,554,546,5,3,3,92,521,-,-,1,-,32
S01005341,623,623,-,-,-,178,614,-,1,-,-,8
S01005342,714,707,6,1,2,177,704,1,-,4,-,5
S01005343,896,895,1,-,-,195,875,-,-,-,-,21
S01005344,703,703,-,-,6,194,684,-,3,7,2,7
S01005345,733,731,2,-,6,173,717,-,10,-,-,6
S01005346,774,768,5,1,4,178,751,1,8,-,-,14
S01005347,663,663,-,-,4,126,634,1,6,1,1,20
S01005348,905,897,7,1,5,195,880,3,4,-,-,18
S01005349,818,815,3,-,8,214,803,6,-,-,5,4
S01005350,692,690,2,-,8,127,680,3,3,-,-,6
S01005351,"1,322","1,301",21,-,12,325,"1,282",1,4,2,-,33
S01005352,881,878,3,-,5,267,869,1,5,6,-,-
S01005353,"1,017","1,008",9,-,4,276,"1,000",-,3,-,-,14
S01005354,820,816,2,2,7,167,804,1,3,-,5,7
S01005355,711,708,2,1,8,199,704,1,-,2,-,4
S01005356,664,662,2,-,5,112,657,2,2,-,-,3
S01005357,750,746,4,-,12,184,724,10,1,3,-,12
S01005358,764,761,3,-,16,162,725,11,-,5,3,20
S01005359,790,786,4,-,4,175,774,-,7,-,4,5
S01005360,749,749,-,-,4,154,732,1,9,1,2,4
S01005361,910,905,5,-,8,182,889,1,5,-,-,15
S01005362,758,754,3,1,2,262,746,-,5,5,-,2
S01005363,652,648,4,-,1,217,636,-,3,1,1,11
S01005364,897,892,5,-,2,268,879,-,5,-,-,13
S01005365,869,853,13,3,-,248,832,-,15,-,1,21
S01005366,689,684,5,-,2,329,666,-,18,1,2,2
S01005367,728,722,6,-,3,311,703,-,5,2,6,12
S01005368,655,647,5,3,2,272,625,-,2,-,13,15
S01005369,950,926,22,2,3,407,865,-,12,3,34,36
S01005370,838,831,5,2,4,351,803,-,3,4,5,23
S01005371,919,917,2,-,-,423,889,-,16,2,1,11
S01005372,843,832,7,4,3,374,813,2,15,2,4,7
S01005373,709,704,5,-,1,292,684,1,9,-,9,6
S01005374,840,831,9,-,2,333,817,1,3,1,14,4
S01005375,916,907,7,2,2,368,871,-,14,4,12,15
S01005376,969,957,10,2,6,407,928,-,17,-,14,10
S01005377,828,815,10,3,3,363,807,-,4,3,10,4
S01005378,767,742,21,4,-,267,687,-,11,-,38,31
S01005379,898,893,5,-,4,387,873,-,12,1,7,5
S01005380,652,635,16,1,3,268,621,-,13,-,14,4
S01005381,619,603,12,4,2,243,563,-,10,-,31,15
S01005382,774,741,23,10,5,330,678,-,6,1,54,35
S01005383,556,555,1,-,6,202,537,1,3,1,1,13
S01005384,903,897,4,2,3,270,868,-,9,-,4,22
S01005385,937,933,3,1,1,291,912,-,11,-,1,13
S01005386,638,634,4,-,2,241,625,-,8,-,-,5
S01005387,867,864,3,-,2,403,842,-,13,3,3,6
S01005388,745,741,4,-,3,268,733,-,4,4,2,2
S01005389,729,722,6,1,7,258,691,1,12,-,6,19
S01005390,818,811,7,-,2,312,774,-,11,1,7,25
S01005391,738,730,8,-,-,298,710,-,13,3,4,8
S01005392,805,800,5,-,3,261,783,-,7,1,3,11
S01005393,908,903,5,-,2,293,893,-,8,1,-,6
S01005394,827,822,5,-,-,238,795,-,7,1,-,24
S01005395,960,957,2,1,-,289,919,-,13,3,-,25
S01005396,719,718,-,1,2,225,687,-,7,1,5,19
S01005397,535,531,4,-,2,176,521,-,3,-,5,6
S01005398,950,948,2,-,3,357,915,-,24,-,3,8
S01005399,954,947,7,-,1,355,906,-,13,-,-,35
S01005400,"1,042","1,030",11,1,4,396,988,-,21,-,6,27
S01005401,831,822,9,-,-,314,801,-,16,1,-,13
S01005402,981,972,9,-,3,384,951,-,16,2,3,9
S01005403,863,860,3,-,3,318,842,-,15,1,2,3
S01005404,961,952,8,1,3,233,904,-,15,6,-,36
S01005405,548,544,3,1,5,196,511,-,9,4,-,24
S01005406,529,527,2,-,3,202,518,-,10,-,-,1
S01005407,"1,393","1,387",6,-,5,370,"1,361",-,10,3,3,16
S01005408,554,548,4,2,2,226,526,-,8,1,7,12
S01005409,684,683,1,-,2,263,657,-,19,-,-,8
S01005410,976,970,4,2,4,310,925,2,19,1,4,25
S01005411,944,937,7,-,4,318,915,-,8,5,3,13
S01005412,970,961,7,2,1,301,927,-,14,3,10,16
S01005413,889,876,12,1,5,295,841,-,8,6,9,25
S01005414,"1,010","1,006",4,-,2,306,967,-,6,2,2,33
S01005415,974,967,7,-,4,271,950,2,8,3,5,6
S01005416,946,940,5,1,10,370,911,-,8,3,17,7
S01005417,"1,166","1,145",19,2,5,373,"1,099",1,15,1,12,38
S01005418,"1,102","1,091",9,2,3,260,"1,039",-,8,3,3,49
S01005419,695,684,11,-,1,320,660,-,15,2,7,11
S01005420,752,744,8,-,1,305,739,-,8,-,-,5
S01005421,841,834,5,2,1,288,815,-,10,1,4,11
S01005422,926,910,16,-,4,298,858,2,7,4,6,49
S01005423,965,961,4,-,3,322,948,-,5,3,-,9
S01005424,842,832,10,-,1,240,782,-,8,1,12,39
S01005425,917,867,46,4,6,346,746,1,14,5,105,46
S01005426,746,719,18,9,1,274,682,-,4,3,39,18
S01005427,748,739,8,1,2,229,697,-,9,-,23,19
S01005428,"1,016",982,30,4,3,329,931,-,17,1,52,15
S01005429,701,689,12,-,3,253,663,-,7,-,16,15
S01005430,528,526,2,-,2,169,509,-,8,2,-,9
S01005431,646,640,4,2,2,279,628,-,8,-,4,6
S01005432,687,680,5,2,3,234,646,-,4,8,16,13
S01005433,821,807,14,-,5,309,762,-,10,5,24,20
S01005434,781,766,14,1,4,263,699,3,8,-,23,48
S01005435,"1,018","1,009",8,1,2,359,995,-,11,-,2,10
S01005436,920,908,9,3,3,326,868,-,8,6,9,29
S01005437,883,871,12,-,-,302,859,-,7,2,6,9
S01005438,758,751,5,2,3,289,740,-,7,6,1,4
S01005439,678,675,3,-,9,214,642,2,11,-,10,13
S01005440,"1,222","1,213",8,1,5,344,"1,193",-,10,-,5,14
S01005441,994,981,10,3,4,366,923,1,11,8,21,30
S01005442,"1,894","1,882",11,1,11,457,"1,825",6,3,2,12,46
S01005443,"1,151","1,147",4,-,5,342,"1,118",-,13,2,-,18
S01005444,"1,281","1,265",14,2,9,387,"1,230",1,4,1,9,36
S01005445,977,968,9,-,2,349,943,-,18,-,-,16
S01005446,755,750,5,-,2,288,728,-,8,1,3,15
S01005447,898,895,3,-,1,246,863,-,7,1,2,25
S01005448,857,848,9,-,2,233,826,-,6,1,7,17
S01005449,962,957,5,-,5,266,925,-,7,-,6,24
S01005450,"1,118","1,103",13,2,3,307,"1,060",-,7,7,7,37
S01005451,922,918,4,-,6,248,889,1,4,6,-,22
S01005452,883,880,2,1,1,228,869,-,5,1,-,8
S01005453,779,773,3,3,4,249,742,-,7,-,7,23
S01005454,889,873,13,3,3,243,820,-,8,3,33,25
S01005455,865,846,18,1,4,253,800,-,9,6,16,34
S01005456,831,820,11,-,3,244,779,-,3,4,28,17
S01005457,931,917,13,1,1,312,889,-,10,-,17,15
S01005458,683,674,8,1,2,219,659,1,2,-,9,12
S01005459,915,906,9,-,1,217,865,-,6,-,9,35
S01005460,843,833,9,1,3,296,802,1,12,5,5,18
S01005461,759,755,4,-,1,182,735,-,8,1,-,15
S01005462,"1,054","1,044",8,2,6,302,"1,029",1,15,2,-,7
S01005463,604,601,2,1,2,186,574,-,8,-,5,17
S01005464,640,636,4,-,3,263,608,1,15,-,-,16
S01005465,586,581,5,-,4,192,566,-,7,1,9,3
S01005466,"1,081","1,076",4,1,6,280,"1,028",-,14,3,5,31
S01005467,494,493,1,-,-,174,488,-,5,-,-,1
S01005468,900,889,10,1,1,240,830,-,11,2,13,44
S01005469,876,867,8,1,1,200,846,-,8,3,10,9
S01005470,710,704,6,-,1,186,698,-,3,2,2,5
S01005471,787,784,1,2,-,172,750,-,6,-,6,25
S01005472,"1,390","1,383",7,-,8,371,"1,353",-,11,-,7,19
S01005473,961,943,17,1,1,231,906,-,7,-,25,23
S01005474,869,846,19,4,3,253,794,1,18,8,4,44
S01005475,926,921,5,-,2,258,896,-,13,1,-,16
