,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01004986,786,117,9,625,3,1,5,1,25
S01004987,497,94,5,365,4,1,4,12,12
S01004988,550,100,6,411,10,0,8,1,14
S01004989,695,91,10,536,4,4,16,2,32
S01004990,593,95,2,468,3,0,11,1,13
S01004991,659,111,7,499,3,0,11,4,24
S01004992,848,68,7,720,0,4,15,15,19
S01004993,691,120,7,533,1,2,6,3,19
S01004994,810,113,4,614,6,2,24,23,24
S01004995,1012,146,5,785,3,1,18,31,23
S01004996,708,95,7,573,5,0,3,12,13
S01004997,958,159,12,727,6,2,17,9,26
S01004998,1260,183,14,998,2,8,17,14,24
S01004999,898,149,8,698,4,2,7,6,24
S01005000,546,80,4,434,2,2,4,3,17
S01005001,1171,148,16,884,7,9,32,5,70
S01005002,1016,195,4,760,4,1,14,5,33
S01005003,1089,173,4,835,2,2,10,25,38
S01005004,881,133,4,696,5,2,13,6,22
S01005005,941,67,0,860,1,1,5,0,7
S01005006,680,80,3,577,2,3,2,2,11
S01005007,839,134,6,660,4,6,10,2,17
S01005008,1335,224,11,927,8,4,52,10,99
S01005009,1033,108,5,868,3,6,18,3,22
S01005010,696,77,3,575,1,3,8,13,16
S01005011,860,75,7,710,4,7,11,27,19
S01005012,874,117,7,647,6,1,13,30,53
S01005013,817,113,10,628,4,2,8,35,17
S01005014,875,80,9,713,4,10,13,18,28
S01005015,613,97,3,478,4,2,5,8,16
S01005016,887,143,7,653,7,3,8,25,41
S01005017,722,108,5,570,4,2,5,2,26
S01005018,594,50,0,527,2,3,1,0,11
S01005019,1260,123,3,1067,3,6,11,18,29
S01005020,833,164,8,601,5,4,12,4,35
S01005021,1066,222,10,747,3,5,14,9,56
S01005022,708,53,6,603,4,7,10,3,22
S01005023,900,122,6,576,2,4,16,138,36
S01005024,929,99,8,772,4,2,12,14,18
S01005025,690,120,1,541,2,1,9,2,14
S01005026,676,107,5,522,3,5,8,10,16
S01005027,812,115,3,654,2,3,7,11,17
S01005028,901,92,8,759,0,2,12,6,22
S01005029,981,99,8,795,2,4,8,25,40
S01005030,1027,107,9,871,2,3,11,0,24
S01005031,682,84,6,485,4,8,13,47,35
S01005032,866,68,6,762,3,1,5,8,13
S01005033,735,60,5,626,1,6,9,2,26
S01005034,779,60,8,675,2,2,2,7,23
S01005035,983,129,6,783,7,6,9,18,25
S01005036,664,79,10,543,9,2,2,4,15
S01005037,1178,99,8,839,1,11,17,109,94
S01005038,819,92,2,681,2,1,5,6,30
S01005039,1064,95,4,909,1,0,7,1,47
S01005040,1166,85,7,848,1,14,18,94,99
S01005041,709,59,3,452,4,7,14,98,72
S01005042,798,71,9,685,3,3,4,0,23
S01005043,804,71,2,682,3,5,5,22,14
S01005044,929,81,10,780,3,5,9,15,26
S01005045,1032,76,4,895,6,4,5,6,36
S01005046,1313,164,12,1058,0,9,15,18,37
S01005047,1516,149,10,1062,1,8,20,132,134
S01005048,595,110,4,457,0,0,4,4,16
S01005049,823,67,7,502,0,3,17,146,81
S01005050,910,47,6,794,4,3,14,24,18
S01005051,823,60,7,706,3,6,7,10,24
S01005052,914,177,9,679,5,2,12,9,21
S01005053,878,53,1,757,1,2,11,33,20
S01005054,592,34,7,513,1,1,12,19,5
S01005055,811,34,4,722,1,4,4,16,26
S01005056,766,87,6,570,0,4,16,51,32
S01005057,739,45,1,661,2,3,4,12,11
S01005058,890,59,6,706,3,3,7,37,69
S01005059,510,31,1,445,1,0,4,18,10
S01005060,727,33,4,638,0,8,6,20,18
S01005061,1159,166,6,914,8,5,9,4,47
S01005062,490,30,1,435,2,5,5,0,12
S01005063,495,32,3,440,1,1,0,1,17
S01005064,754,98,5,620,1,4,8,0,18
S01005065,1252,86,6,937,4,11,24,112,72
S01005066,786,68,2,624,0,1,12,62,17
S01005067,627,117,5,387,4,3,24,46,41
S01005068,641,31,0,576,2,1,9,14,8
S01005069,594,23,4,527,0,3,3,25,9
S01005070,1124,72,6,796,5,9,13,120,103
S01005071,190,13,0,165,0,1,2,5,4
S01005072,622,28,1,538,1,2,9,27,16
S01005073,616,165,6,394,5,3,9,6,28
S01005074,1210,137,15,992,11,2,11,8,34
S01005075,435,40,2,362,1,0,10,3,17
S01005076,768,58,2,658,1,5,9,17,18
S01005077,1036,80,10,887,5,4,9,28,13
S01005078,692,30,0,621,0,1,6,25,9
S01005079,638,42,2,542,1,4,5,36,6
S01005080,454,15,1,397,1,2,4,26,8
S01005081,656,35,0,574,3,4,5,29,6
S01005082,657,67,4,560,10,1,6,0,9
S01005083,975,107,7,828,1,2,11,3,16
S01005084,613,28,1,557,2,2,2,12,9
S01005085,533,57,0,462,4,1,0,0,9
S01005086,1696,125,16,1404,6,7,16,66,56
S01005087,492,42,0,430,1,6,3,5,5
S01005088,561,58,5,482,3,2,4,1,6
S01005089,776,86,4,653,1,1,6,6,19
S01005090,866,96,8,730,2,1,13,1,15
S01005091,637,93,5,519,4,0,6,0,10
S01005092,672,73,4,572,4,1,2,4,12
S01005093,704,56,5,612,4,2,2,14,9
S01005094,802,111,12,622,4,5,3,20,25
S01005095,1566,227,13,1270,9,3,11,11,22
S01005096,734,57,4,636,8,2,5,4,18
S01005097,842,73,6,705,7,2,11,3,35
S01005098,722,78,3,619,2,2,5,8,5
S01005099,797,79,4,686,5,3,4,2,14
S01005100,928,87,13,782,7,1,11,13,14
S01005101,996,82,6,840,2,7,7,10,42
S01005102,893,121,2,731,3,2,1,7,26
S01005103,1155,151,12,931,9,1,9,8,34
S01005104,1002,234,7,610,2,5,44,18,82
S01005105,886,97,4,752,3,1,9,4,16
S01005106,557,56,2,466,0,4,8,9,12
S01005107,454,68,4,371,0,2,3,1,5
S01005108,635,72,5,532,4,0,3,3,16
S01005109,1470,241,16,1138,8,5,16,14,32
S01005110,1115,140,7,917,3,5,12,12,19
S01005111,577,52,1,497,0,1,6,5,15
S01005112,876,206,13,584,3,4,11,26,29
S01005113,1045,105,6,894,7,0,9,11,13
S01005114,990,78,6,799,6,3,5,82,11
S01005115,973,184,5,681,4,3,36,16,44
S01005116,621,126,1,466,1,0,10,2,15
S01005117,1014,169,4,768,10,4,7,26,26
S01005118,813,162,6,555,5,4,13,31,37
S01005119,712,152,2,512,5,4,6,1,30
S01005120,665,70,14,557,1,5,6,1,11
S01005121,918,118,12,715,2,5,9,27,30
S01005122,866,91,6,739,2,2,5,8,13
S01005123,750,106,3,597,6,1,8,11,18
S01005124,710,61,6,620,1,2,4,9,7
S01005125,839,71,3,650,4,5,6,71,29
S01005126,656,99,6,520,4,4,7,3,13
S01005127,678,43,9,552,1,6,12,30,25
S01005128,991,143,4,773,9,6,13,7,36
S01005129,948,114,3,785,3,2,7,15,19
S01005130,666,52,1,553,3,1,3,36,17
S01005131,984,176,8,730,8,1,5,23,33
S01005132,718,87,7,574,7,2,13,15,13
S01005133,401,91,2,289,3,2,3,0,11
S01005134,989,92,5,854,2,4,10,8,14
S01005135,780,92,1,655,0,1,7,6,18
S01005136,846,152,6,581,7,7,12,54,27
S01005137,943,206,8,663,7,2,13,7,37
S01005138,1129,158,5,898,3,2,16,23,24
S01005139,725,142,4,512,2,5,12,19,29
S01005140,613,166,2,383,5,4,13,6,34
S01005141,828,194,4,558,6,5,16,14,31
S01005142,561,114,2,422,2,0,7,0,14
S01005143,1122,163,4,824,3,2,25,51,50
S01005144,1222,257,3,765,9,5,14,94,75
S01005145,731,152,5,514,4,1,8,20,27
S01005146,745,161,6,495,2,0,10,41,30
S01005147,945,263,9,584,7,3,7,16,56
S01005148,846,73,10,733,4,5,4,3,14
S01005149,593,50,7,509,1,4,6,2,14
S01005150,660,49,3,597,0,0,1,8,2
S01005151,670,62,6,588,2,3,2,4,3
S01005152,1712,65,1,1568,5,4,9,4,56
S01005153,868,43,7,793,1,3,6,1,14
S01005154,645,72,6,532,5,8,6,1,15
S01005155,690,28,6,645,1,3,0,0,7
S01005156,695,15,4,656,4,7,0,2,7
S01005157,871,17,1,832,1,6,7,2,5
S01005158,677,12,4,649,1,0,5,0,6
S01005159,917,21,3,873,3,7,4,1,5
S01005160,1089,26,3,1022,1,8,7,0,22
S01005161,951,24,1,907,3,0,1,0,15
S01005162,918,31,1,858,4,6,5,4,9
S01005163,628,17,2,590,1,0,3,8,7
S01005164,914,32,3,857,1,3,5,6,7
S01005165,720,21,5,683,1,2,1,0,7
S01005166,996,44,3,933,1,2,2,3,8
S01005167,670,24,2,622,2,1,4,3,12
S01005168,740,27,2,690,0,1,4,1,15
S01005169,577,17,0,543,0,0,3,8,6
S01005170,786,30,5,730,1,3,1,0,16
S01005171,882,29,4,807,0,5,6,6,25
S01005172,1468,54,6,1361,0,4,10,8,25
S01005173,696,28,6,629,0,7,8,2,16
S01005174,681,15,3,654,0,3,4,0,2
S01005175,982,37,10,795,1,2,83,14,40
S01005176,688,24,1,640,1,1,5,1,15
S01005177,829,16,6,743,1,3,2,43,15
S01005178,956,22,4,897,4,4,4,7,14
S01005179,925,26,6,850,2,6,7,9,19
S01005180,842,32,7,786,0,2,1,0,14
S01005181,924,103,5,770,3,2,10,4,27
S01005182,737,18,4,693,0,5,3,6,8
S01005183,903,21,7,859,3,5,2,0,6
S01005184,932,19,6,883,1,2,1,1,19
S01005185,517,14,1,488,0,4,3,1,6
S01005186,731,20,4,683,1,7,7,3,6
S01005187,990,24,6,930,1,7,8,3,11
S01005188,902,33,7,823,0,4,3,2,30
S01005189,877,33,2,820,1,5,6,3,7
S01005190,889,33,3,826,2,3,3,1,18
S01005191,926,30,3,859,0,0,5,9,20
S01005192,1126,36,8,1022,1,6,2,16,35
S01005193,788,31,5,724,3,1,4,0,20
S01005194,591,15,2,550,1,5,1,4,13
S01005195,900,27,1,844,3,4,6,0,15
S01005196,809,23,4,720,1,1,3,14,43
S01005197,700,32,3,640,0,2,2,14,7
S01005198,846,48,9,763,2,3,5,2,14
S01005199,772,31,1,728,1,0,4,0,7
S01005200,537,13,1,507,0,3,2,2,9
S01005201,917,27,4,859,2,3,3,5,14
S01005202,870,56,3,789,1,3,3,8,7
S01005203,785,24,8,733,1,3,3,0,13
S01005204,506,15,1,467,0,3,1,7,12
S01005205,1101,46,6,990,2,2,15,5,35
S01005206,960,39,3,885,3,4,2,3,21
S01005207,892,29,7,836,1,2,2,1,14
S01005208,558,20,0,494,2,0,4,15,23
S01005209,866,21,5,814,0,2,2,6,16
S01005210,908,21,5,845,1,10,5,9,12
S01005211,686,20,2,648,0,2,2,1,11
S01005212,535,26,1,492,0,1,4,0,11
S01005213,923,53,4,846,2,3,4,3,8
S01005214,922,33,5,786,1,2,7,37,51
S01005215,974,36,8,909,3,4,2,3,9
S01005216,751,24,8,686,2,3,4,9,15
S01005217,977,28,2,909,2,3,3,14,16
S01005218,932,22,4,874,0,3,6,8,15
S01005219,953,24,3,890,0,11,2,8,15
S01005220,660,21,1,624,0,0,2,3,9
S01005221,692,31,3,626,1,3,5,0,23
S01005222,583,21,2,533,1,3,2,9,12
S01005223,722,15,3,692,0,4,2,0,6
S01005224,724,14,1,698,2,2,1,0,6
S01005225,978,40,11,892,5,4,7,2,17
S01005226,518,20,3,456,1,4,4,6,24
S01005227,1069,36,7,985,2,5,4,2,28
S01005228,891,97,8,741,8,10,3,11,13
S01005229,1122,46,5,979,2,3,14,26,47
S01005230,825,44,6,750,2,6,7,1,9
S01005231,715,28,2,644,0,3,6,8,24
S01005232,1068,36,6,972,1,5,16,9,23
S01005233,769,25,4,713,2,1,2,5,17
S01005234,1352,57,10,1183,6,3,23,13,57
S01005235,705,28,2,613,1,1,3,15,42
S01005236,1175,42,3,1104,0,2,6,0,18
S01005237,983,23,6,920,3,5,5,0,21
S01005238,800,33,1,749,4,1,2,1,9
S01005239,1106,37,7,850,0,6,21,34,151
S01005240,834,31,4,751,1,7,7,12,21
S01005241,952,25,4,900,0,2,5,3,13
S01005242,1107,46,9,964,2,8,6,37,35
S01005243,1057,43,10,875,0,10,8,55,56
S01005244,909,34,3,824,5,6,9,2,26
S01005245,686,38,6,513,2,3,30,44,50
S01005246,878,26,11,782,1,1,15,9,33
S01005247,624,8,0,581,0,1,0,20,14
S01005248,619,18,4,556,1,3,9,2,26
S01005249,850,34,3,669,0,4,19,39,82
S01005250,835,29,7,659,2,2,21,25,90
S01005251,852,33,5,745,1,3,7,34,24
S01005252,506,19,1,461,1,1,1,7,15
S01005253,547,11,2,509,0,2,7,4,12
S01005254,903,45,11,636,2,8,75,41,85
S01005255,710,31,8,593,3,3,2,47,23
S01005256,846,23,5,780,0,2,8,6,22
S01005257,904,43,3,808,2,3,5,1,39
S01005258,1014,34,1,946,1,1,5,1,25
S01005259,541,23,1,480,1,8,1,14,13
S01005260,629,15,3,576,0,4,3,11,17
S01005261,653,24,0,585,0,2,4,13,25
S01005262,1183,56,13,1014,1,4,33,15,47
S01005263,534,15,4,499,0,5,1,6,4
S01005264,628,11,1,600,0,2,3,1,10
S01005265,479,12,1,447,1,2,1,7,8
S01005266,846,27,3,798,1,4,3,1,9
S01005267,1070,36,2,1008,0,4,7,1,12
S01005268,1315,40,3,1134,1,1,9,61,66
S01005269,940,35,4,868,1,3,6,3,20
S01005270,1046,39,4,968,3,4,2,1,25
S01005271,519,13,1,486,0,2,4,1,12
S01005272,538,11,1,502,0,2,2,16,4
S01005273,731,24,5,692,0,0,1,0,9
S01005274,745,15,6,693,0,6,3,11,11
S01005275,546,20,4,485,1,3,7,10,16
S01005276,722,26,0,673,2,1,3,3,14
S01005277,669,14,2,643,0,3,2,1,4
S01005278,789,25,2,741,1,3,1,0,16
S01005279,553,41,4,492,2,0,1,1,12
S01005280,753,19,1,690,1,7,5,20,10
S01005281,767,26,6,705,1,5,3,6,15
S01005282,756,17,2,720,0,5,1,4,7
S01005283,800,87,10,651,3,3,9,7,30
S01005284,606,12,0,575,0,1,1,7,10
S01005285,693,23,2,649,0,3,1,4,11
S01005286,801,91,10,651,8,4,6,1,30
S01005287,1089,44,4,944,2,6,12,17,60
S01005288,778,18,4,727,0,6,2,0,21
S01005289,989,24,5,889,1,1,9,16,44
S01005290,604,40,2,537,0,5,1,5,14
S01005291,684,47,2,617,1,1,3,0,13
S01005292,744,26,3,668,4,3,8,13,19
S01005293,760,23,3,711,1,3,3,8,8
S01005294,569,61,6,480,0,2,2,3,15
S01005295,586,20,1,539,2,2,3,2,17
S01005296,831,89,5,693,5,2,7,0,30
S01005297,710,25,5,653,1,2,2,0,22
S01005298,1082,62,4,980,6,5,4,0,21
S01005299,503,14,1,473,2,1,1,4,7
S01005300,911,54,6,816,1,1,1,4,28
S01005301,868,66,6,775,0,4,4,6,7
S01005302,1000,22,4,955,2,1,1,2,13
S01005303,842,65,6,739,1,5,5,1,20
S01005304,662,19,3,619,0,5,4,1,11
S01005305,744,17,6,695,2,7,1,0,16
S01005306,956,42,3,864,2,1,4,0,40
S01005307,953,70,10,843,2,2,1,0,25
S01005308,532,28,3,455,0,3,1,19,23
S01005309,851,26,5,795,2,5,5,0,13
S01005310,975,18,8,930,2,5,5,0,7
S01005311,818,25,8,728,0,7,2,2,46
S01005312,1147,55,11,1005,0,8,5,10,53
S01005313,841,17,4,783,0,2,2,2,31
S01005314,457,36,4,407,2,1,2,0,5
S01005315,881,40,3,779,4,1,5,4,45
S01005316,848,28,4,793,0,7,0,1,15
S01005317,519,11,2,490,0,5,2,0,9
S01005318,573,11,1,550,1,1,2,0,7
S01005319,617,14,2,573,2,3,0,1,22
S01005320,610,51,7,538,0,0,2,0,12
S01005321,607,21,0,563,0,3,3,0,17
S01005322,1859,55,11,1644,7,4,24,20,94
S01005323,757,20,4,680,3,6,8,6,30
S01005324,788,18,3,740,2,1,2,5,17
S01005325,2209,94,12,1951,4,5,15,17,111
S01005326,921,35,5,829,3,5,5,20,19
S01005327,604,8,4,573,0,0,2,11,6
S01005328,704,16,10,614,0,3,8,10,43
S01005329,658,78,3,554,2,0,3,3,15
S01005330,706,10,3,679,0,5,3,0,6
S01005331,669,17,6,620,1,4,3,7,11
S01005332,565,25,1,528,1,3,3,0,4
S01005333,772,21,1,736,0,3,1,0,10
S01005334,1137,41,2,1070,2,3,8,0,11
S01005335,505,24,0,453,2,3,2,0,21
S01005336,598,21,1,554,1,1,2,5,13
S01005337,872,36,1,817,1,1,1,0,15
S01005338,562,20,5,524,1,2,2,0,8
S01005339,770,34,3,717,0,3,5,3,5
S01005340,573,30,3,509,2,1,2,2,24
S01005341,647,22,3,609,0,1,2,2,8
S01005342,730,19,0,698,2,3,2,0,6
S01005343,932,31,7,870,1,1,5,1,16
S01005344,726,23,1,694,0,2,0,0,6
S01005345,747,25,1,707,3,2,1,0,8
S01005346,789,20,3,750,0,0,0,5,11
S01005347,675,27,5,619,0,3,0,1,20
S01005348,933,25,2,884,3,0,6,2,11
S01005349,846,23,1,806,1,0,4,5,6
S01005350,709,37,1,653,4,0,5,0,9
S01005351,1349,81,14,1211,5,1,5,2,30
S01005352,926,33,1,877,3,4,5,0,3
S01005353,1057,29,5,999,2,2,5,0,15
S01005354,843,44,1,774,4,5,3,5,7
S01005355,737,33,2,685,0,0,2,0,15
S01005356,681,39,8,618,2,0,6,0,8
S01005357,790,16,5,748,2,5,0,7,7
S01005358,782,34,8,707,1,3,1,8,20
S01005359,808,19,1,768,1,0,0,5,14
S01005360,762,24,1,726,0,4,1,2,4
S01005361,932,75,5,815,4,2,6,5,20
S01005362,768,352,4,386,2,2,2,1,19
S01005363,666,267,5,358,5,0,7,1,23
S01005364,911,341,5,531,4,3,3,2,22
S01005365,888,178,7,656,7,3,7,5,25
S01005366,708,67,1,629,0,1,3,2,5
S01005367,751,76,3,642,4,1,7,8,10
S01005368,675,66,0,570,1,2,12,15,9
S01005369,974,85,2,797,2,2,14,35,37
S01005370,850,101,1,698,6,2,14,9,19
S01005371,947,81,1,843,1,2,3,6,10
S01005372,864,76,2,748,6,1,6,6,19
S01005373,724,62,1,639,2,1,2,10,7
S01005374,870,82,2,733,4,1,12,20,16
S01005375,937,87,5,805,3,3,8,18,8
S01005376,992,88,1,864,3,3,5,14,14
S01005377,863,70,0,768,2,0,7,12,4
S01005378,808,79,10,626,6,3,20,45,19
S01005379,920,83,2,808,3,0,4,8,12
S01005380,671,87,1,554,2,1,8,14,4
S01005381,641,48,6,531,4,1,7,36,8
S01005382,834,74,7,650,7,2,34,53,7
S01005383,570,157,2,375,2,3,7,2,22
S01005384,920,228,8,629,6,8,13,8,20
S01005385,962,272,8,636,2,5,10,4,25
S01005386,653,115,3,521,0,2,4,0,8
S01005387,899,103,6,765,3,1,11,3,7
S01005388,775,131,3,613,1,2,4,5,16
S01005389,750,126,4,574,7,5,6,8,20
S01005390,850,120,3,677,3,3,16,8,20
S01005391,756,134,6,587,2,3,8,6,10
S01005392,831,273,2,523,5,1,3,4,20
S01005393,929,197,9,682,6,3,8,1,23
S01005394,863,230,4,572,5,0,17,1,34
S01005395,978,247,5,661,9,4,11,3,38
S01005396,744,183,6,506,6,3,10,10,20
S01005397,546,198,5,318,3,0,4,3,15
S01005398,969,101,3,844,4,2,8,3,4
S01005399,983,108,3,820,1,5,13,2,31
S01005400,1078,125,7,896,2,0,17,7,24
S01005401,847,93,3,720,4,4,8,2,13
S01005402,1015,146,7,810,6,2,10,6,28
S01005403,892,84,0,790,0,5,2,3,8
S01005404,985,254,8,642,6,4,16,6,49
S01005405,564,121,6,414,1,0,4,1,17
S01005406,546,79,3,440,3,2,7,0,12
S01005407,1435,431,9,930,6,6,11,6,36
S01005408,579,76,4,471,1,5,7,6,9
S01005409,700,87,6,591,2,1,3,0,10
S01005410,1016,235,9,721,4,2,9,4,32
S01005411,968,188,6,748,0,2,8,4,12
S01005412,999,171,7,765,4,10,8,12,22
S01005413,909,170,9,658,6,2,12,11,41
S01005414,1039,169,13,791,7,8,16,7,28
S01005415,990,206,10,735,3,3,8,6,19
S01005416,978,141,2,796,1,1,9,15,13
S01005417,1231,155,10,985,4,6,5,13,53
S01005418,1127,234,13,759,9,6,20,8,78
S01005419,718,90,0,603,0,0,3,11,11
S01005420,768,120,3,622,1,1,7,1,13
S01005421,870,109,3,715,2,3,10,7,21
S01005422,946,98,10,767,1,7,18,12,33
S01005423,989,126,2,817,3,15,10,0,16
S01005424,874,104,4,708,5,1,12,15,25
S01005425,980,102,2,716,1,3,16,119,21
S01005426,769,55,6,631,2,5,5,38,27
S01005427,779,51,8,661,3,0,7,26,23
S01005428,1049,84,10,858,3,7,9,53,25
S01005429,719,68,0,586,3,8,14,16,24
S01005430,537,57,2,445,2,3,12,0,16
S01005431,667,41,1,602,2,3,4,5,9
S01005432,704,62,3,594,1,0,9,18,17
S01005433,850,71,9,707,3,4,17,26,13
S01005434,807,88,11,621,6,4,16,26,35
S01005435,1060,148,9,852,5,4,13,4,25
S01005436,953,81,8,814,5,3,5,9,28
S01005437,916,96,6,785,4,3,6,9,7
S01005438,788,68,4,695,3,2,8,1,7
S01005439,700,82,3,568,3,3,9,11,21
S01005440,1266,322,15,877,9,2,12,6,23
S01005441,1054,100,13,883,1,2,8,29,18
S01005442,1983,434,30,1401,12,10,20,24,52
S01005443,1183,192,15,926,9,4,12,3,22
S01005444,1322,222,9,1014,7,2,16,12,40
S01005445,1002,130,3,832,6,4,6,1,20
S01005446,777,87,3,648,3,1,9,7,19
S01005447,932,127,2,749,8,4,15,4,23
S01005448,876,150,7,674,5,3,5,9,23
S01005449,984,241,4,680,8,5,7,8,31
S01005450,1144,417,4,672,3,3,14,15,16
S01005451,937,173,4,709,9,4,10,1,27
S01005452,899,209,11,644,4,4,5,1,21
S01005453,802,212,2,541,5,4,12,8,18
S01005454,924,152,5,657,8,5,19,44,34
S01005455,874,116,7,673,4,2,13,27,32
S01005456,858,116,11,655,6,0,9,36,25
S01005457,959,86,6,802,8,7,11,22,17
S01005458,716,76,10,586,4,2,7,13,18
S01005459,934,202,12,647,4,1,11,24,33
S01005460,868,190,10,633,4,5,9,7,10
S01005461,773,314,8,411,5,5,11,0,19
S01005462,1073,326,13,694,7,2,7,1,23
S01005463,622,104,5,475,2,4,11,7,14
S01005464,653,124,2,497,3,0,6,4,17
S01005465,610,86,5,483,1,1,7,8,19
S01005466,1119,211,11,841,6,3,9,7,31
S01005467,509,69,6,425,2,0,2,0,5
S01005468,925,183,7,643,11,4,22,13,42
S01005469,889,390,18,438,6,3,7,11,16
S01005470,734,129,11,544,10,1,7,2,30
S01005471,813,139,12,612,6,2,12,6,24
S01005472,1451,318,14,1043,5,5,18,11,37
S01005473,993,260,8,638,11,4,16,33,23
S01005474,889,174,5,651,5,5,10,13,26
S01005475,950,289,3,595,11,13,7,1,31
S01005476,961,200,10,652,7,7,26,15,44
S01005477,863,143,5,655,7,4,9,24,16
S01005478,760,143,3,551,3,3,29,13,15
S01005479,599,188,2,387,6,0,7,2,7
S01005480,1273,632,14,551,7,3,18,23,25
S01005481,687,188,5,462,3,0,13,9,7
S01005482,663,209,2,416,8,0,6,9,13
S01005483,939,333,13,523,7,8,10,32,13
S01005484,535,189,4,321,1,1,5,4,10
S01005485,851,205,5,597,2,1,2,18,21
S01005486,874,209,0,615,5,0,9,29,7
S01005487,733,200,5,468,3,1,10,30,16
S01005488,792,195,2,549,1,2,8,18,17
S01005489,962,243,4,657,8,8,9,9,24
S01005490,664,208,6,419,7,3,9,0,12
S01005491,836,267,4,508,1,11,8,12,25
S01005492,936,241,9,636,12,7,6,5,20
S01005493,704,138,1,526,2,3,13,1,20
S01005494,882,150,5,699,7,1,5,4,11
S01005495,769,115,2,627,6,2,3,4,10
S01005496,1025,97,0,855,6,12,14,28,13
S01005497,915,125,7,736,5,1,3,4,34
S01005498,984,95,4,783,11,16,6,50,19
S01005499,671,56,1,582,8,1,4,10,9
S01005500,720,64,1,577,4,13,7,28,26
S01005501,1043,103,2,890,3,1,3,19,22
S01005502,845,120,2,667,5,4,11,10,26
S01005503,618,37,1,529,0,4,4,21,22
S01005504,647,64,4,537,2,3,5,17,15
S01005505,621,52,3,526,5,3,6,15,11
S01005506,877,108,4,675,1,7,8,31,43
S01005507,587,50,1,461,4,14,1,35,21
S01005508,697,54,0,597,5,5,1,9,26
S01005509,659,50,0,564,1,8,11,13,12
S01005510,726,95,0,599,9,4,6,0,13
S01005511,652,121,0,516,2,0,5,1,7
S01005512,700,138,2,520,9,3,12,6,10
S01005513,813,100,2,683,1,9,2,2,14
S01005514,624,105,0,487,1,7,7,5,12
S01005515,576,16,0,551,0,0,3,0,6
S01005516,559,45,1,483,3,1,5,15,6
S01005517,957,175,10,735,12,7,4,3,11
S01005518,1055,127,4,866,13,16,11,9,9
S01005519,646,104,2,515,4,1,4,0,16
S01005520,966,163,1,767,5,3,3,9,15
S01005521,693,149,3,502,5,2,8,3,21
S01005522,636,125,17,462,1,5,5,9,12
S01005523,788,214,15,505,13,2,9,14,16
S01005524,815,150,22,610,3,3,12,7,8
S01005525,662,48,5,582,0,2,8,1,16
S01005526,674,34,6,627,0,3,3,0,1
S01005527,493,23,5,453,1,2,3,4,2
S01005528,558,50,6,486,1,0,5,3,7
S01005529,950,44,7,882,3,1,7,0,6
S01005530,626,33,4,570,1,2,3,10,3
S01005531,551,53,10,473,2,5,1,0,7
S01005532,839,70,7,724,0,7,13,4,14
S01005533,713,51,0,641,0,3,1,4,13
S01005534,585,29,1,533,2,3,4,0,13
S01005535,851,61,7,775,0,0,3,0,5
S01005536,890,133,13,717,6,6,1,2,12
S01005537,727,88,17,592,0,2,8,6,14
S01005538,815,72,7,710,5,1,6,3,11
S01005539,869,90,8,728,5,2,13,2,21
S01005540,748,47,6,662,2,1,8,4,18
S01005541,637,26,7,592,2,3,1,2,4
S01005542,733,43,6,676,3,0,2,0,3
S01005543,795,59,1,710,2,1,7,5,10
S01005544,709,46,1,647,1,0,5,5,4
S01005545,1224,83,10,1087,7,4,8,1,24
S01005546,746,94,19,608,3,3,4,5,10
S01005547,1000,105,15,821,7,2,9,11,30
S01005548,1365,141,21,1132,5,7,6,6,47
S01005549,1498,135,17,1301,4,6,15,4,16
S01005550,612,77,9,492,2,0,5,1,26
S01005551,840,107,10,691,3,5,8,1,15
S01005552,785,104,14,631,3,5,6,2,20
S01005553,813,95,19,668,4,0,5,1,21
S01005554,662,77,8,549,4,1,5,0,18
S01005555,858,139,14,664,3,4,9,0,25
S01005556,589,62,8,498,2,1,3,1,14
S01005557,701,33,8,646,0,0,4,4,6
S01005558,719,57,8,619,3,5,8,8,11
S01005559,625,17,9,568,2,0,12,6,11
S01005560,578,37,4,522,0,1,4,4,6
S01005561,860,77,10,754,3,1,5,1,9
S01005562,916,113,14,748,4,4,10,4,19
S01005563,757,34,5,703,5,0,1,1,8
S01005564,835,98,10,687,6,5,10,4,15
S01005565,546,44,6,467,4,1,2,2,20
S01005566,501,35,2,451,1,0,1,1,10
S01005567,962,55,3,878,2,2,4,5,13
S01005568,545,32,2,490,0,1,5,1,14
S01005569,735,56,5,638,1,3,6,6,20
S01005570,757,44,11,675,3,3,9,0,12
S01005571,688,54,3,611,1,0,6,3,10
S01005572,799,87,4,664,6,9,10,3,16
S01005573,699,42,6,625,1,4,5,2,14
S01005574,840,28,6,788,0,2,5,1,10
S01005575,674,55,4,596,1,2,1,1,14
S01005576,782,51,4,705,0,2,4,3,13
S01005577,869,93,12,711,3,6,10,2,32
S01005578,941,42,5,868,0,3,12,4,7
S01005579,981,100,9,841,6,3,4,1,17
S01005580,655,73,11,540,6,8,7,2,8
S01005581,714,39,6,640,1,4,5,5,14
S01005582,820,87,9,677,1,8,10,4,24
S01005583,630,48,5,553,3,4,5,0,12
S01005584,554,49,7,468,1,2,3,0,24
S01005585,881,66,11,723,1,3,9,24,44
