Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01004869,299,299,-,-,299,299,-,-,106,153,34,6,-,-,-
S01004870,357,357,-,-,357,352,-,5,17,51,238,50,1,-,-
S01004871,322,322,-,-,322,317,-,5,10,22,180,110,-,-,-
S01004872,363,363,-,-,363,360,-,3,39,42,261,19,2,-,-
S01004873,336,336,-,-,336,335,-,1,90,54,129,60,2,1,-
S01004874,509,509,-,-,509,495,-,14,70,47,110,273,5,3,1
S01004875,298,298,-,-,298,294,-,4,12,20,140,125,-,1,-
S01004876,394,394,-,-,394,393,-,1,24,29,267,72,-,2,-
S01004877,307,307,-,-,307,305,-,2,15,27,261,4,-,-,-
S01004878,384,384,-,-,384,379,1,4,9,40,223,112,-,-,-
S01004879,300,300,-,-,300,296,-,4,3,12,192,92,1,-,-
S01004880,336,336,-,-,336,327,-,9,12,19,203,100,2,-,-
S01004881,338,338,-,-,338,333,-,5,4,9,253,72,-,-,-
S01004882,228,228,-,-,228,226,-,2,5,20,188,15,-,-,-
S01004883,708,708,-,-,708,695,1,12,378,162,112,56,-,-,-
S01004884,209,209,-,-,209,208,-,1,101,95,10,3,-,-,-
S01004885,217,217,-,-,217,215,-,2,5,20,178,14,-,-,-
S01004886,382,382,-,-,382,375,-,7,7,7,245,123,-,-,-
S01004887,136,136,-,-,136,136,-,-,2,8,124,2,-,-,-
S01004888,221,221,-,-,221,219,-,2,137,56,25,3,-,-,-
S01004889,355,355,-,-,355,349,-,6,17,46,259,31,1,1,-
S01004890,386,386,-,-,386,370,-,16,6,18,115,243,4,-,-
S01004891,417,417,-,-,417,413,-,4,9,34,270,104,-,-,-
S01004892,271,271,-,-,271,271,-,-,192,51,15,13,-,-,-
S01004893,409,409,-,-,409,398,-,11,6,25,296,79,2,1,-
S01004894,483,483,-,-,483,462,-,21,7,40,215,218,1,2,-
S01004895,406,406,-,-,406,398,-,8,3,30,276,97,-,-,-
S01004896,389,389,-,-,389,389,-,-,14,53,316,4,2,-,-
S01004897,213,213,-,-,213,213,-,-,112,68,24,9,-,-,-
S01004898,473,473,-,-,473,456,-,17,9,34,185,243,2,-,-
S01004899,342,342,-,-,342,339,-,3,22,62,233,25,-,-,-
S01004900,316,316,-,-,316,315,-,1,249,54,8,4,-,1,-
S01004901,410,410,-,-,410,391,-,19,6,8,43,351,1,1,-
S01004902,378,378,-,-,378,371,-,7,8,15,220,134,1,-,-
S01004903,215,215,-,-,215,214,-,1,164,43,6,2,-,-,-
S01004904,524,524,-,-,524,500,-,24,6,16,218,282,1,1,-
S01004905,437,437,-,-,437,430,-,7,5,19,228,185,-,-,-
S01004906,423,423,-,-,423,406,-,17,5,29,223,165,1,-,-
S01004907,327,327,-,-,327,324,-,3,149,128,17,33,-,-,-
S01004908,255,255,-,-,255,252,-,3,8,17,207,23,-,-,-
S01004909,369,369,-,-,369,366,-,3,106,47,78,136,1,1,-
S01004910,343,343,-,-,343,340,-,3,10,55,274,4,-,-,-
S01004911,297,297,-,-,297,296,-,1,204,52,40,1,-,-,-
S01004912,329,329,-,-,329,327,-,2,3,30,185,109,1,1,-
S01004913,292,292,-,-,292,287,-,5,17,43,164,67,1,-,-
S01004914,268,268,-,-,268,261,2,5,113,9,76,69,1,-,-
S01004915,315,315,-,-,315,314,-,1,6,15,81,212,1,-,-
S01004916,346,346,-,-,346,332,1,13,12,33,160,127,10,4,-
S01004917,201,201,-,-,201,200,-,1,103,75,20,3,-,-,-
S01004918,265,265,-,-,265,264,-,1,92,67,57,49,-,-,-
S01004919,276,276,-,-,276,272,-,4,5,50,206,15,-,-,-
S01004920,417,417,-,-,417,411,-,6,8,38,185,186,-,-,-
S01004921,326,326,-,-,326,322,-,4,6,11,111,198,-,-,-
S01004922,238,238,-,-,238,238,-,-,161,60,9,8,-,-,-
S01004923,361,361,-,-,361,354,-,7,145,76,52,87,1,-,-
S01004924,351,351,-,-,351,350,-,1,6,31,274,40,-,-,-
S01004925,273,273,-,-,273,271,-,2,76,44,75,75,1,2,-
S01004926,313,313,-,-,313,312,-,1,282,15,10,6,-,-,-
S01004927,345,345,-,-,345,340,-,5,105,167,53,20,-,-,-
S01004928,481,481,-,-,481,476,-,5,410,40,25,6,-,-,-
S01004929,253,253,-,-,253,249,-,4,141,66,28,17,-,1,-
S01004930,318,318,-,-,318,317,-,1,35,44,13,225,-,1,-
S01004931,471,471,-,-,471,468,-,3,74,65,100,232,-,-,-
S01004932,366,366,-,-,366,354,-,12,19,32,23,289,3,-,-
S01004933,352,352,-,-,352,350,-,2,135,39,20,154,3,-,1
S01004934,351,351,-,-,351,347,1,3,36,57,40,215,3,-,-
S01004935,201,201,-,-,201,199,-,2,103,83,6,3,6,-,-
S01004936,542,542,-,-,542,515,2,25,98,35,68,316,12,13,-
S01004937,276,276,-,-,276,269,-,7,50,15,31,173,1,-,6
S01004938,366,366,-,-,366,361,-,5,10,71,144,141,-,-,-
S01004939,248,248,-,-,248,242,-,6,9,32,24,181,2,-,-
S01004940,221,221,-,-,221,219,-,2,5,52,146,18,-,-,-
S01004941,263,263,-,-,263,253,-,10,6,23,125,108,1,-,-
S01004942,363,363,-,-,363,357,-,6,113,77,124,49,-,-,-
S01004943,427,427,-,-,427,422,2,3,142,168,80,37,-,-,-
S01004944,216,216,-,-,216,211,-,5,66,73,60,14,3,-,-
S01004945,337,337,-,-,337,327,1,9,83,75,19,153,7,-,-
S01004946,313,313,-,-,313,297,5,11,281,27,2,-,-,-,3
S01004947,317,317,-,-,317,306,3,8,238,64,9,2,3,-,1
S01004948,318,318,-,-,318,279,17,22,99,99,58,15,21,26,-
S01004949,319,319,-,-,319,302,5,12,280,35,1,-,3,-,-
S01004950,326,326,-,-,326,313,2,11,242,65,12,6,1,-,-
S01004951,410,410,-,-,410,379,13,18,83,162,109,45,11,-,-
S01004952,495,495,-,-,495,486,1,8,237,214,30,9,4,1,-
S01004953,448,448,-,-,448,438,-,10,48,245,121,25,9,-,-
S01004954,320,320,-,-,320,316,-,4,54,121,138,5,2,-,-
S01004955,290,289,-,1,293,290,-,3,107,112,67,1,5,1,-
S01004956,385,385,-,-,385,362,13,10,253,101,14,8,8,-,1
S01004957,302,302,-,-,302,294,2,6,252,35,5,3,5,1,1
S01004958,573,571,1,1,576,542,5,29,196,177,83,96,22,1,1
S01004959,452,452,-,-,452,410,9,33,69,94,82,116,48,38,5
S01004960,279,279,-,-,279,275,-,4,80,137,16,25,19,2,-
S01004961,334,334,-,-,334,320,4,10,122,103,40,40,18,11,-
S01004962,267,267,-,-,267,257,6,4,240,16,2,3,6,-,-
S01004963,301,301,-,-,301,287,2,12,194,97,3,2,4,1,-
S01004964,475,475,-,-,475,444,19,12,422,37,8,2,2,-,4
S01004965,436,436,-,-,436,413,6,17,371,60,1,-,-,2,2
S01004966,470,470,-,-,470,436,15,19,433,25,1,5,1,1,4
S01004967,298,298,-,-,298,275,10,13,270,22,1,3,2,-,-
S01004968,311,311,-,-,311,279,9,23,241,49,13,1,1,5,1
S01004969,485,485,-,-,485,425,35,25,403,70,3,-,-,4,5
S01004970,459,459,-,-,459,405,29,25,346,82,6,13,2,4,6
S01004971,568,568,-,-,568,511,21,36,448,88,15,4,3,-,10
S01004972,400,400,-,-,400,384,9,7,280,85,20,6,6,3,-
S01004973,374,374,-,-,374,360,3,11,312,49,4,5,3,1,-
S01004974,478,478,-,-,478,458,5,15,368,61,31,8,1,-,9
S01004975,347,347,-,-,347,332,6,9,265,52,15,10,3,-,2
S01004976,430,430,-,-,430,415,-,15,148,104,69,99,10,-,-
S01004977,480,480,-,-,480,462,-,18,86,145,145,79,16,9,-
S01004978,420,420,-,-,420,406,-,14,166,182,61,10,-,1,-
S01004979,328,328,-,-,328,327,-,1,241,57,9,12,5,4,-
S01004980,456,456,-,-,456,444,2,10,213,179,43,21,-,-,-
S01004981,444,444,-,-,444,415,13,16,341,62,8,9,3,1,20
S01004982,268,268,-,-,268,255,-,13,194,41,17,11,4,-,1
S01004983,442,442,-,-,442,426,2,14,171,123,106,29,10,3,-
S01004984,353,353,-,-,353,341,4,8,168,84,47,39,11,4,-
S01004985,369,369,-,-,369,352,8,9,129,139,45,30,26,-,-
S01004986,301,301,-,-,301,295,1,5,221,25,28,16,6,5,-
S01004987,219,219,-,-,219,204,4,11,179,31,6,1,-,1,1
S01004988,219,219,-,-,219,218,-,1,153,43,10,7,6,-,-
S01004989,447,447,-,-,447,314,110,23,256,36,22,125,8,-,-
S01004990,260,260,-,-,260,241,10,9,171,65,18,2,2,-,2
S01004991,297,297,-,-,297,279,3,15,176,59,34,16,10,2,-
S01004992,380,380,-,-,380,364,4,12,61,129,149,39,1,1,-
S01004993,326,326,-,-,326,309,10,7,309,11,3,3,-,-,-
S01004994,372,372,-,-,372,356,2,14,220,56,42,32,9,13,-
S01004995,489,489,-,-,489,460,3,26,128,101,115,122,10,13,-
S01004996,317,317,-,-,317,304,3,10,142,52,29,88,6,-,-
S01004997,410,410,-,-,410,398,2,10,211,109,67,15,7,1,-
S01004998,526,526,-,-,526,510,2,14,342,113,44,22,1,3,1
S01004999,379,379,-,-,379,368,8,3,134,139,69,15,19,2,1
S01005000,266,266,-,-,266,262,1,3,89,95,41,22,15,4,-
S01005001,485,485,-,-,485,439,6,40,295,95,66,26,2,1,-
S01005002,516,516,-,-,516,461,43,12,363,97,40,5,10,1,-
S01005003,473,473,-,-,473,438,8,27,273,116,60,10,10,2,2
S01005004,371,371,-,-,371,354,2,15,179,105,65,14,6,2,-
S01005005,462,462,-,-,462,450,-,12,80,226,83,72,1,-,-
S01005006,350,350,-,-,350,314,18,18,105,88,21,104,26,6,-
S01005007,467,467,-,-,467,446,14,7,234,149,46,31,6,-,1
S01005008,399,399,-,-,399,379,1,19,268,91,16,21,1,2,-
S01005009,405,405,-,-,405,392,4,9,227,95,60,11,11,1,-
S01005010,334,334,-,-,334,315,3,16,85,74,49,86,16,5,19
S01005011,373,373,-,-,373,371,1,1,73,118,81,98,1,2,-
S01005012,521,521,-,-,521,482,6,33,53,53,97,254,26,38,-
S01005013,345,345,-,-,345,341,-,4,201,62,41,41,-,-,-
S01005014,374,374,-,-,374,369,-,5,27,213,26,106,1,1,-
S01005015,299,299,-,-,299,291,2,6,80,96,52,61,10,-,-
S01005016,448,448,-,-,448,416,3,29,97,62,72,169,28,20,-
S01005017,330,330,-,-,330,315,6,9,188,81,27,20,14,-,-
S01005018,233,233,-,-,233,230,1,2,32,158,14,28,1,-,-
S01005019,388,387,1,-,389,378,4,7,8,64,49,252,9,7,-
S01005020,355,355,-,-,355,328,8,19,129,67,21,68,57,13,-
S01005021,444,444,-,-,444,425,12,7,295,45,8,52,16,1,27
S01005022,304,304,-,-,304,300,-,4,42,160,25,68,9,-,-
S01005023,346,346,-,-,346,325,7,14,186,85,32,19,3,1,20
S01005024,436,436,-,-,436,430,-,6,84,146,30,166,10,-,-
S01005025,321,321,-,-,321,301,12,8,196,78,38,2,5,1,1
S01005026,299,299,-,-,299,282,9,8,194,44,14,34,13,-,-
S01005027,351,351,-,-,351,339,2,10,196,71,41,31,8,-,4
S01005028,410,410,-,-,410,397,4,9,187,85,16,110,10,2,-
S01005029,523,523,-,-,523,503,2,18,27,86,70,302,35,3,-
S01005030,448,448,-,-,448,436,-,12,91,242,32,70,12,1,-
S01005031,411,411,-,-,411,400,3,8,21,65,22,240,56,7,-
S01005032,433,433,-,-,433,421,-,12,49,200,21,161,1,1,-
S01005033,302,302,-,-,302,293,-,9,225,67,5,3,-,1,1
S01005034,355,355,-,-,355,352,-,3,224,104,15,11,1,-,-
S01005035,462,462,-,-,462,453,-,9,196,106,61,74,19,4,2
S01005036,312,312,-,-,312,305,3,4,133,68,32,62,17,-,-
S01005037,763,762,-,1,766,712,3,51,23,20,23,621,36,43,-
S01005038,329,329,-,-,329,324,2,3,197,97,14,21,-,-,-
S01005039,472,472,-,-,472,465,-,7,339,102,19,4,6,2,-
S01005040,771,771,-,-,771,715,1,55,10,14,7,656,34,50,-
S01005041,475,474,1,-,476,441,12,23,3,3,1,379,29,61,-
S01005042,360,360,-,-,360,352,-,8,244,95,7,13,1,-,-
S01005043,387,387,-,-,387,377,2,8,71,74,92,120,29,1,-
S01005044,515,515,-,-,515,500,1,14,50,118,17,309,20,1,-
S01005045,398,398,-,-,398,392,-,6,270,57,43,26,-,2,-
S01005046,550,550,-,-,550,537,2,11,227,152,32,133,5,1,-
S01005047,"1,038","1,038",-,-,"1,038",981,5,52,8,12,18,885,33,82,-
S01005048,222,222,-,-,222,219,1,2,199,18,4,1,-,-,-
S01005049,483,482,1,-,484,459,-,25,19,32,5,396,23,9,-
S01005050,467,467,-,-,467,464,-,3,9,36,87,335,-,-,-
S01005051,382,382,-,-,382,378,-,4,189,119,51,21,2,-,-
S01005052,401,401,-,-,401,365,12,24,320,36,30,9,2,1,3
S01005053,369,369,-,-,369,360,-,9,8,46,15,296,-,4,-
S01005054,238,238,-,-,238,232,-,6,9,82,78,65,3,1,-
S01005055,343,343,-,-,343,337,-,6,12,121,114,96,-,-,-
S01005056,413,413,-,-,413,380,4,29,14,55,33,250,56,5,-
S01005057,382,382,-,-,382,365,-,17,45,39,49,247,1,1,-
S01005058,402,402,-,-,402,390,1,11,40,59,71,224,5,3,-
S01005059,234,234,-,-,234,232,-,2,8,26,99,101,-,-,-
S01005060,336,336,-,-,336,327,1,8,9,93,92,140,-,2,-
S01005061,550,550,-,-,550,527,5,18,99,175,31,194,48,2,1
S01005062,222,222,-,-,222,214,-,8,133,54,30,3,2,-,-
S01005063,199,199,-,-,199,196,-,3,79,83,24,13,-,-,-
S01005064,335,335,-,-,335,325,2,8,185,81,23,30,12,4,-
S01005065,649,649,-,-,649,644,-,5,25,91,58,470,4,1,-
S01005066,374,374,-,-,374,368,1,5,17,41,25,289,1,1,-
S01005067,241,241,-,-,241,206,31,4,184,36,14,2,5,-,-
S01005068,286,286,-,-,286,285,-,1,7,52,197,29,1,-,-
S01005069,292,292,-,-,292,285,-,7,27,28,93,140,4,-,-
S01005070,531,531,-,-,531,520,4,7,62,96,31,328,10,2,2
S01005071,78,78,-,-,78,78,-,-,4,15,13,44,-,2,-
S01005072,294,294,-,-,294,291,-,3,9,59,133,89,2,2,-
S01005073,362,362,-,-,362,285,72,5,211,51,42,24,23,9,2
S01005074,508,508,-,-,508,495,1,12,284,133,54,33,2,1,1
S01005075,173,173,-,-,173,172,-,1,18,80,40,33,1,1,-
S01005076,361,361,-,-,361,356,-,5,6,30,167,158,-,-,-
S01005077,416,416,-,-,416,404,2,10,112,231,19,53,1,-,-
S01005078,324,324,-,-,324,319,-,5,11,45,195,73,-,-,-
S01005079,296,296,-,-,296,294,-,2,18,21,171,83,3,-,-
S01005080,208,208,-,-,208,206,-,2,1,20,104,83,-,-,-
S01005081,301,301,-,-,301,298,1,2,14,23,172,92,-,-,-
S01005082,289,289,-,-,289,285,1,3,137,77,49,18,5,1,2
S01005083,482,482,-,-,482,467,1,14,80,190,81,109,16,6,-
S01005084,287,287,-,-,287,285,-,2,15,27,168,75,2,-,-
S01005085,248,248,-,-,248,241,1,6,86,60,57,30,14,1,-
S01005086,657,657,-,-,657,647,-,10,179,115,134,216,-,3,10
S01005087,231,231,-,-,231,230,1,-,37,113,44,36,1,-,-
S01005088,250,250,-,-,250,243,-,7,108,86,45,9,2,-,-
S01005089,354,354,-,-,354,348,-,6,118,110,112,13,-,-,1
S01005090,403,403,-,-,403,391,6,6,206,84,25,78,8,1,1
S01005091,312,312,-,-,312,307,-,5,208,70,28,5,1,-,-
S01005092,324,324,-,-,324,322,-,2,84,108,91,30,10,1,-
S01005093,350,350,-,-,350,338,3,9,29,52,190,72,4,2,1
S01005094,346,346,-,-,346,325,4,17,203,72,24,19,3,-,25
S01005095,709,709,-,-,709,681,7,21,448,151,79,22,2,4,3
S01005096,321,321,-,-,321,311,-,10,107,109,78,27,-,-,-
S01005097,363,363,-,-,363,351,-,12,182,112,56,8,4,1,-
S01005098,341,341,-,-,341,333,2,6,152,97,61,27,2,-,2
S01005099,390,390,-,-,390,381,1,8,107,165,60,53,5,-,-
S01005100,363,363,-,-,363,360,1,2,210,75,47,21,9,-,1
S01005101,486,486,-,-,486,478,2,6,100,101,34,227,19,5,-
S01005102,392,392,-,-,392,365,3,24,255,96,29,9,3,-,-
S01005103,445,445,-,-,445,420,9,16,312,78,29,21,3,1,1
S01005104,320,320,-,-,320,280,15,25,226,55,20,7,9,2,1
S01005105,449,449,-,-,449,422,20,7,109,75,92,135,34,4,-
S01005106,262,262,-,-,262,254,1,7,89,76,56,39,2,-,-
S01005107,202,202,-,-,202,198,-,4,100,62,12,14,9,5,-
S01005108,303,303,-,-,303,296,1,6,55,123,102,13,9,1,-
S01005109,614,614,-,-,614,583,18,13,464,87,24,30,9,-,-
S01005110,550,550,-,-,550,512,6,32,364,144,30,5,6,-,1
S01005111,251,251,-,-,251,243,3,5,111,88,44,2,5,-,1
S01005112,526,526,-,-,526,374,138,14,340,88,80,10,5,2,1
S01005113,498,498,-,-,498,480,1,17,148,130,126,73,19,2,-
S01005114,449,449,-,-,449,432,1,16,39,88,88,193,21,20,-
S01005115,469,469,-,-,469,421,27,21,227,53,69,80,23,16,1
S01005116,323,323,-,-,323,291,24,8,171,81,53,10,1,6,1
S01005117,424,424,-,-,424,397,17,10,309,84,15,5,3,1,7
S01005118,417,417,-,-,417,374,26,17,175,104,39,75,16,4,4
S01005119,317,317,-,-,317,305,6,6,292,19,4,2,-,-,-
S01005120,313,313,-,-,313,297,3,13,205,91,7,6,4,-,-
S01005121,421,421,-,-,421,388,11,22,264,100,30,11,14,2,-
S01005122,387,387,-,-,387,379,-,8,203,95,69,17,3,-,-
S01005123,373,373,-,-,373,364,1,8,203,118,10,38,-,4,-
S01005124,305,305,-,-,305,298,-,7,109,94,87,11,2,2,-
S01005125,477,477,-,-,477,460,1,16,54,57,38,274,15,38,1
S01005126,283,283,-,-,283,272,5,6,143,75,48,8,5,4,-
S01005127,325,325,-,-,325,315,2,8,59,40,96,121,6,2,1
S01005128,506,506,-,-,506,472,21,13,228,75,64,121,14,4,-
S01005129,419,419,-,-,419,403,7,9,161,128,88,34,8,-,-
S01005130,321,321,-,-,321,320,-,1,33,44,86,150,6,-,2
S01005131,460,460,-,-,460,420,23,17,184,146,58,49,7,16,-
S01005132,319,319,-,-,319,293,7,19,155,67,13,42,38,4,-
S01005133,209,209,-,-,209,182,23,4,158,29,14,4,-,3,1
S01005134,503,503,-,-,503,482,1,20,155,126,105,97,17,3,-
S01005135,367,367,-,-,367,353,2,12,159,66,52,59,15,16,-
S01005136,461,461,-,-,461,402,35,24,90,100,92,121,32,26,-
S01005137,482,482,-,-,482,414,57,11,390,54,7,15,7,6,3
S01005138,530,530,-,-,530,508,14,8,238,113,105,54,14,6,-
S01005139,347,347,-,-,347,300,34,13,195,98,32,12,6,3,1
S01005140,493,493,-,-,493,272,217,4,388,80,17,2,2,3,1
S01005141,500,500,-,-,500,399,89,12,317,79,65,30,6,2,1
S01005142,303,303,-,-,303,278,16,9,157,55,44,44,3,-,-
S01005143,578,578,-,-,578,537,32,9,161,189,29,159,30,9,1
S01005144,586,586,-,-,586,524,48,14,291,147,29,72,24,19,4
S01005145,429,429,-,-,429,351,74,4,247,141,27,3,6,3,2
S01005146,393,393,-,-,393,309,77,7,220,134,31,3,4,1,-
S01005147,553,553,-,-,553,396,145,12,366,107,56,6,7,9,2
S01005148,386,386,-,-,386,371,-,15,100,93,34,140,13,6,-
S01005149,293,293,-,-,293,288,-,5,83,39,74,84,10,3,-
S01005150,293,293,-,-,293,289,-,4,36,96,67,93,1,-,-
S01005151,299,299,-,-,299,298,-,1,104,49,58,83,5,-,-
S01005152,519,519,-,-,519,507,-,12,328,111,45,33,2,-,-
S01005153,366,366,-,-,366,363,-,3,139,120,65,35,6,1,-
S01005154,283,283,-,-,283,272,3,8,181,50,26,22,4,-,-
S01005155,294,294,-,-,294,288,-,6,90,99,49,56,-,-,-
S01005156,288,288,-,-,288,279,-,9,18,98,133,38,1,-,-
S01005157,396,396,-,-,396,388,-,8,15,133,161,85,-,2,-
S01005158,301,301,-,-,301,301,-,-,48,116,92,45,-,-,-
S01005159,420,420,-,-,420,408,-,12,8,109,258,41,-,4,-
S01005160,505,505,-,-,505,493,-,12,50,137,177,137,4,-,-
S01005161,371,371,-,-,371,370,-,1,75,125,50,120,1,-,-
S01005162,464,464,-,-,464,448,1,15,15,74,212,160,3,-,-
S01005163,279,279,-,-,279,277,1,1,16,105,80,76,1,1,-
S01005164,389,389,-,-,389,382,-,7,28,73,184,100,4,-,-
S01005165,373,373,-,-,373,364,-,9,31,93,185,60,3,1,-
S01005166,466,466,-,-,466,438,-,28,18,58,217,166,5,2,-
S01005167,333,333,-,-,333,319,-,14,17,38,71,201,-,6,-
S01005168,288,288,-,-,288,286,-,2,109,67,33,75,4,-,-
S01005169,240,240,-,-,240,238,-,2,25,62,143,10,-,-,-
S01005170,311,311,-,-,311,311,-,-,117,118,20,50,6,-,-
S01005171,352,352,-,-,352,348,1,3,9,93,101,147,2,-,-
S01005172,525,525,-,-,525,515,3,7,218,164,99,41,2,-,1
S01005173,257,257,-,-,257,255,-,2,126,36,47,48,-,-,-
S01005174,347,347,-,-,347,339,-,8,3,56,138,150,-,-,-
S01005175,371,371,-,-,371,357,1,13,146,47,37,127,13,1,-
S01005176,376,376,-,-,376,367,-,9,5,77,140,154,-,-,-
S01005177,475,475,-,-,475,443,1,31,-,31,128,316,-,-,-
S01005178,421,421,-,-,421,413,-,8,5,164,226,25,1,-,-
S01005179,435,435,-,-,435,425,-,10,46,112,151,126,-,-,-
S01005180,365,365,-,-,365,357,-,8,86,177,15,83,4,-,-
S01005181,362,362,-,-,362,345,-,17,230,73,18,40,1,-,-
S01005182,405,405,-,-,405,387,-,18,7,59,128,208,2,1,-
S01005183,473,473,-,-,473,461,-,12,9,57,209,196,1,1,-
S01005184,376,376,-,-,376,366,-,10,9,23,38,304,1,1,-
S01005185,261,261,-,-,261,257,-,4,3,71,116,70,1,-,-
S01005186,432,432,-,-,432,423,-,9,40,72,35,283,1,1,-
S01005187,526,526,-,-,526,511,-,15,82,54,144,245,1,-,-
S01005188,357,357,-,-,357,356,-,1,253,79,17,8,-,-,-
S01005189,467,467,-,-,467,463,-,4,10,106,218,128,1,4,-
S01005190,378,378,-,-,378,371,-,7,53,245,28,48,3,1,-
S01005191,385,385,-,-,385,380,-,5,36,66,67,199,17,-,-
S01005192,499,499,-,-,499,492,-,7,124,83,38,235,18,1,-
S01005193,326,326,-,-,326,317,-,9,181,87,24,12,22,-,-
S01005194,289,289,-,-,289,283,-,6,6,42,180,61,-,-,-
S01005195,353,353,-,-,353,349,1,3,129,189,21,13,-,1,-
S01005196,361,361,-,-,361,352,-,9,18,87,73,182,1,-,-
S01005197,479,479,-,-,479,458,-,21,15,21,17,420,2,4,-
S01005198,394,394,-,-,394,385,-,9,99,157,46,86,3,2,1
S01005199,321,321,-,-,321,318,-,3,32,100,137,52,-,-,-
S01005200,247,247,-,-,247,244,-,3,14,90,124,18,1,-,-
S01005201,460,460,-,-,460,448,-,12,23,94,155,186,2,-,-
S01005202,418,418,-,-,418,412,-,6,11,100,193,114,-,-,-
S01005203,358,358,-,-,358,354,-,4,54,180,61,48,11,4,-
S01005204,217,217,-,-,217,214,-,3,27,75,76,26,13,-,-
S01005205,504,504,-,-,504,497,1,6,124,58,29,273,20,-,-
S01005206,415,415,-,-,415,410,-,5,155,133,77,49,1,-,-
S01005207,482,482,-,-,482,474,-,8,19,138,42,279,4,-,-
S01005208,335,335,-,-,335,309,-,26,7,42,38,248,-,-,-
S01005209,471,471,-,-,471,469,-,2,12,115,128,211,4,1,-
S01005210,646,646,-,-,646,632,-,14,9,8,29,590,4,5,1
S01005211,392,392,-,-,392,376,2,14,12,35,47,288,6,4,-
S01005212,302,302,-,-,302,295,-,7,35,43,64,156,4,-,-
S01005213,441,441,-,-,441,431,-,10,79,119,54,171,15,3,-
S01005214,592,592,-,-,592,560,-,32,9,27,49,497,5,5,-
S01005215,492,492,-,-,492,477,-,15,32,94,134,224,8,-,-
S01005216,379,379,-,-,379,363,-,16,44,25,37,271,2,-,-
S01005217,379,379,-,-,379,367,-,12,100,97,63,118,1,-,-
S01005218,559,559,-,-,559,548,-,11,12,49,49,431,10,8,-
S01005219,409,409,-,-,409,404,-,5,31,130,155,91,1,1,-
S01005220,355,355,-,-,355,347,-,8,22,108,63,162,-,-,-
S01005221,287,287,-,-,287,279,2,6,77,59,18,75,58,-,-
S01005222,261,261,-,-,261,256,1,4,56,63,55,87,-,-,-
S01005223,391,391,-,-,391,382,-,9,29,110,43,208,1,-,-
S01005224,269,269,-,-,269,269,-,-,136,40,75,18,-,-,-
S01005225,444,444,-,-,444,440,-,4,69,160,61,139,8,7,-
S01005226,220,220,-,-,220,212,-,8,24,62,23,95,16,-,-
S01005227,621,621,-,-,621,583,-,38,33,68,29,457,10,23,1
S01005228,375,375,-,-,375,360,1,14,257,81,19,14,3,-,1
S01005229,774,773,-,1,776,687,1,88,13,26,73,633,28,3,-
S01005230,390,390,-,-,390,386,-,4,62,52,95,166,12,3,-
S01005231,346,346,-,-,346,343,1,2,49,49,71,165,11,1,-
S01005232,710,710,-,-,710,687,-,23,16,25,96,558,15,-,-
S01005233,424,423,-,1,428,402,-,26,11,35,77,283,7,15,-
S01005234,698,698,-,-,698,682,2,14,43,67,163,399,15,11,-
S01005235,320,320,-,-,320,320,-,-,59,17,78,166,-,-,-
S01005236,532,532,-,-,532,527,-,5,58,232,50,190,2,-,-
S01005237,431,431,-,-,431,422,-,9,196,184,30,20,1,-,-
S01005238,377,377,-,-,377,373,-,4,70,97,123,86,1,-,-
S01005239,661,660,1,-,662,610,1,51,4,17,10,604,8,19,-
S01005240,564,564,-,-,564,539,-,25,3,24,54,467,15,1,-
S01005241,397,397,-,-,397,395,-,2,75,288,24,8,1,1,-
S01005242,753,752,1,-,754,722,2,30,20,9,23,691,9,2,-
S01005243,774,774,-,-,774,692,-,82,6,6,16,730,9,7,-
S01005244,356,356,-,-,356,353,-,3,67,248,11,12,17,1,-
S01005245,450,450,-,-,450,426,2,22,3,10,7,410,16,4,-
S01005246,589,589,-,-,589,570,-,19,2,2,8,576,-,1,-
S01005247,271,271,-,-,271,261,-,10,24,99,61,86,1,-,-
S01005248,452,452,-,-,452,428,-,24,4,7,3,429,3,6,-
S01005249,575,574,1,-,576,552,-,24,3,12,12,500,5,44,-
S01005250,552,552,-,-,552,516,-,36,6,1,4,541,-,-,-
S01005251,415,415,-,-,415,382,-,33,22,149,76,168,-,-,-
S01005252,246,246,-,-,246,242,-,4,2,20,68,156,-,-,-
S01005253,237,237,-,-,237,235,-,2,33,95,65,42,1,1,-
S01005254,447,447,-,-,447,421,2,24,11,40,44,300,51,1,-
S01005255,486,486,-,-,486,449,1,36,5,3,8,465,1,4,-
S01005256,339,339,-,-,339,335,-,4,83,129,71,46,8,2,-
