Zone Code,all_16_74_employed,managers_senior_officials,prof_occupations,associate_prof_technical_occ,admin_secretarial,skilled_trades_occ,personal_service,sales_customer_service,process_plant_machine_operatives,elementary
60QA000384,42,3,2,3,4,7,4,4,7,8
60QA000385,62,8,2,6,7,8,8,7,8,8
60QA000386,75,12,23,15,6,3,4,5,3,4
60QA000387,52,2,11,9,11,1,1,8,4,5
60QA000388,71,8,21,11,5,6,6,7,5,2
60QA000389,52,3,9,5,12,6,5,4,3,5
60QA000390,40,3,2,6,2,7,3,4,4,9
60QA000391,102,10,22,23,15,9,4,5,6,8
60QA000392,26,2,1,2,4,2,4,3,4,4
60QA000393,58,5,5,9,8,6,2,6,4,13
60QA000394,30,1,2,4,3,1,1,5,6,7
60QA000395,91,21,22,15,4,3,2,6,11,7
60QA000396,46,4,8,9,8,7,0,3,2,5
60QA000397,53,6,5,14,10,9,0,2,3,4
60QA000398,35,4,9,6,1,6,1,3,1,4
60QA000399,45,5,14,8,5,2,3,3,2,3
60QA000400,94,20,19,19,20,1,5,5,2,3
60QA000401,79,6,20,18,19,4,2,3,4,3
60QA000402,43,7,11,4,6,2,3,4,1,5
60QA000403,60,12,24,6,6,1,2,1,5,3
60QA000404,65,11,19,12,7,2,0,7,5,2
60QA000405,75,11,16,15,5,1,8,4,3,12
60QA000406,48,13,4,9,2,3,1,3,5,8
60QA000407,80,22,25,5,8,0,4,3,4,9
60QA000408,82,13,23,10,18,4,1,5,4,4
60QA000409,79,13,18,7,10,5,5,5,2,14
60QA000410,46,7,13,4,7,2,5,3,3,2
60QA000411,35,0,1,4,8,2,4,3,4,9
60QA000412,26,1,0,3,3,4,4,2,5,4
60QA000413,22,0,0,0,3,5,5,1,3,5
60QA000414,25,0,1,5,4,1,2,5,3,4
60QA000415,13,3,1,2,0,0,2,1,1,3
60QA000416,56,4,3,9,8,4,5,4,6,13
60QA000417,17,2,0,2,0,2,1,1,3,6
60QA000418,45,11,3,5,6,3,1,4,5,7
60QA000419,59,13,12,7,13,1,0,7,2,4
60QA000420,4,1,0,0,0,0,1,0,1,1
60QA000421,47,9,13,7,6,2,0,3,2,5
60QA000422,34,2,4,4,6,2,3,3,1,9
60QA000423,42,4,0,7,10,4,3,3,3,8
60QA000424,48,13,9,8,4,0,1,4,5,4
60QA000425,43,9,15,8,5,2,1,3,0,0
60QA000426,56,12,12,5,2,3,4,5,7,6
60QA000427,82,17,28,15,3,1,1,5,5,7
60QA000428,36,6,4,5,3,5,3,4,2,4
